"MotifID","Position","Frm","FrmP","FrmN","Total_Coverage","CoverageP","CoverageN"
1,43,68.9593298059965,75.6349367088608,60.5549800796813,567,316,251
2,71,69.7904375,66.2113698630137,72.7935632183908,480,219,261
3,238,70.7718290598291,73.4014814814815,68.06,585,297,288
4,311,69.1777397260274,70.7625581395349,67.4921201413428,584,301,283
5,1226,77.0374622356496,73.8982389937107,79.9394186046512,662,318,344
6,3129,63.0451222826087,68.6660762942779,57.4546341463415,736,367,369
7,3966,56.5148977395048,56.5895896328294,56.440686695279,929,463,466
8,4848,71.0817737789203,74.7767567567568,66.1698802395209,778,444,334
9,5241,48.337892325315,47.3049882903981,49.3267937219731,873,427,446
10,5322,52.0087079261672,35.6234605597964,64.2045454545455,921,393,528
11,5407,64.9421513944223,64.7955625,65.0764312977099,1004,480,524
12,5852,67.1945434047351,62.5923690773067,70.9918106995885,887,401,486
13,7194,73.9788172043011,71.9488051948052,75.4128623853211,930,385,545
14,7245,69.3923590333717,73.3181132075472,66.4677510040161,869,371,498
15,7475,70.6165360824742,69.7105288461538,71.2968592057762,970,416,554
16,7904,51.176030428769,37.8214899713467,63.6378877005348,723,349,374
17,7911,45.5061825726141,27.7773333333333,63.0885123966942,723,360,363
18,10064,70.3487412587413,59.9327397260274,77.5389834515366,715,292,423
19,11437,76.6290038314176,78.6419029126214,74.6693761814745,1044,515,529
20,12908,68.4346666666667,63.6130434782609,72.4634416826004,960,437,523
21,14284,70.8183365758755,67.7067483296214,73.2312953367876,1028,449,579
22,16578,77.2066781214204,76.4553398058252,77.8781561822126,873,412,461
23,18392,69.573507751938,67.2412205567452,71.5012566371681,1032,467,565
24,19046,65.1887372013652,44.4839145907473,74.9179264214047,879,281,598
25,20674,67.022636072572,61.1126086956522,71.7009369024857,937,414,523
26,20704,72.776388384755,71.4273412698413,73.9133779264214,1102,504,598
27,21529,67.2175291828794,70.6547476635514,63.4874847870183,1028,535,493
28,21556,67.1577368421053,72.9212826603325,62.5708695652174,950,421,529
29,22402,76.2886394557823,70.0978058252427,82.4915175097276,1029,515,514
30,24095,57.8609141583055,61.0825325884544,53.0553333333333,897,537,360
31,26062,69.0618479408659,76.1693318485523,62.6536947791165,947,449,498
32,26741,67.1447492323439,72.060732177264,61.5740174672489,977,519,458
33,26896,77.8134939759036,77.72,77.9215584415584,996,534,462
34,27796,52.3034356552538,55.7422338204593,47.8273913043478,847,479,368
35,30082,67.2898952270081,68.2793103448276,66.2748113207547,859,435,424
36,30171,63.7379338842975,70.8317391304348,54.325,968,552,416
37,32229,75.943374108053,75.3313215859031,76.4706451612903,981,454,527
38,32904,66.3237335834897,68.359375,64.4424187725632,1066,512,554
39,33599,77.6844988066826,73.1658490566038,83.6551246537396,838,477,361
40,33824,72.0945228215768,67.7555102040816,76.58,964,490,474
41,34446,74.5075544041451,81.2616962524655,67.030807860262,965,507,458
42,34738,71.3842214912281,73.2562874251497,69.1022141119221,912,501,411
43,34768,78.7060751565762,85.0291554702495,71.1675743707094,958,521,437
44,35584,62.4133758700696,71.5495606694561,51.0407291666667,862,478,384
45,36834,72.7358614564831,74.8242907801418,70.64,1126,564,562
46,37392,60.3805338078292,71.7536701030928,44.9727932960894,843,485,358
47,37465,69.4552140818268,75.6867955801105,62.7942913385827,1051,543,508
48,37990,72.4488936170213,69.1346956521739,75.625,940,460,480
49,39065,65.0876152832675,67.4323428571429,63.0811246943765,759,350,409
50,40070,69.4959398496241,56.6233766233766,78.5727472527472,931,385,546
51,42340,68.576581027668,70.9805803571429,66.6670212765957,1012,448,564
52,44444,64.4760199714693,77.2813019390582,50.8798235294118,701,361,340
53,45003,78.8211805555556,71.952743902439,87.9052419354839,864,492,372
54,45762,25.3094887780549,42.1736339522546,10.35,802,377,425
55,46357,74.0703501094092,77.6562670299728,71.6644424131627,914,367,547
56,46669,67.1384475806452,76.9729090909091,57.3435613682093,992,495,497
57,48309,75.7373628691983,76.5461407249467,74.9454697286013,948,469,479
58,48995,72.8989159292035,65.7724938875306,78.7872121212121,904,409,495
59,49018,69.1952528735632,70.453367768595,67.6177202072539,870,484,386
60,49098,68.9114918190568,65.7895454545454,71.0128985507246,1039,418,621
61,52192,59.9814923954373,58.5578969072165,61.1992063492063,1052,485,567
62,52303,59.9560726072607,66.6663636363636,53.95875,909,429,480
63,52591,67.4789970788705,74.3141684210526,61.5972826086957,1027,475,552
64,52664,65.4687581699346,69.5128358208955,61.2445434298441,918,469,449
65,53847,62.0182297772567,56.0683815028902,66.0786785009862,853,346,507
66,53986,67.8476440849343,76.9573361522199,59.4970930232558,989,473,516
67,55873,68.8235588235294,69.5544,68.2465789473684,1020,450,570
68,58598,64.6645675105485,64.2262068965517,65.0848140495868,948,464,484
69,58626,60.2337327677625,57.0140979955457,63.1600809716599,943,449,494
70,63477,42.7672335025381,32.5341333333333,52.058789346247,788,375,413
71,65879,69.4510042283298,73.1850651769088,64.548337408313,946,537,409
72,67774,69.8168202764977,63.1502687140115,79.8262536023055,868,521,347
73,67898,64.2151311647429,68.9943856332703,58.2523349056604,953,529,424
74,68025,48.1622603550296,31.3090909090909,63.0260801781737,845,396,449
75,71356,61.6285131894484,49.848,69.5372745490982,834,335,499
76,71709,72.74,67.3670526315789,77.4014611872146,818,380,438
77,73605,70.6326355421687,76.4686189258312,62.2741391941392,664,391,273
78,73988,69.1763926940639,77.8914462809917,58.4159693877551,876,484,392
79,74000,67.4035171568627,70.9514285714286,63.6405808080808,816,420,396
80,74434,76.6342979635584,78.1454304635761,75.2081666666667,933,453,480
81,75933,75.8834285714286,80.8263989637306,71.9816155419223,875,386,489
82,76207,62.9255303810505,60.0021855670103,65.8428600823045,971,485,486
83,76316,59.6760320855615,61.9006493506493,57.5031501057082,935,462,473
84,77539,69.1902593360996,68.8824273858921,69.4980912863071,964,482,482
85,78651,57.3338111111111,48.0343418013857,65.9562312633833,900,433,467
86,81886,61.6855542168675,47.9882183908046,71.5749170124481,830,348,482
87,84927,65.3522688039457,61.9421393034826,68.7040342298288,811,402,409
88,85021,52.9776670716889,49.9966850828729,55.3184815618221,823,362,461
89,85101,69.4315025906736,61.7504,77.6907526881721,772,400,372
90,85149,51.8300985915493,39.7016421568627,68.2155629139073,710,408,302
91,85648,64.791557591623,58.6105494505494,68.2282484725051,764,273,491
92,86016,67.6460675381264,70.9457894736842,64.1079909706546,918,475,443
93,87120,65.438691206544,63.0541150442478,67.4877946768061,978,452,526
94,87507,70.776416772554,77.0689361702128,63.463956043956,787,423,364
95,88350,78.5895079787234,76.9648780487805,80.1547519582245,752,369,383
96,88919,57.036817625459,55.4467796610169,58.6622772277228,817,413,404
97,89045,63.8241359447005,75.262578125,54.7490082644628,868,384,484
98,90836,71.7079827798278,64.4391885441527,79.4379949238579,813,419,394
99,91434,56.2361330561331,42.556855345912,69.6897731958763,962,477,485
100,94707,71.8148596112311,69.3966379310345,74.2435497835498,926,464,462
101,95284,63.4170902612827,67.116462585034,59.3487032418953,842,441,401
102,95558,55.0673466666667,71.4903239740821,28.5731358885017,750,463,287
103,95731,63.0362596259626,71.5506369426752,53.8803881278539,909,471,438
104,95849,69.5353056994819,70.776012526096,68.3124691358025,965,479,486
105,97868,64.5353884711779,71.4005,53.0167449664429,798,500,298
106,98756,66.0074703557312,65.2089264413519,66.7966011787819,1012,503,509
107,99093,75.6916129032258,80.2282068965517,71.134064665127,868,435,433
108,101160,70.7562431544359,74.5399389002037,66.3538862559242,913,491,422
109,102700,68.1777049180328,77.3707736943907,59.0376730769231,1037,517,520
110,104202,75.3514252336449,76.6254545454546,73.8575126903553,856,462,394
111,104209,73.7024379232506,68.085,80.0490625,886,470,416
112,104993,62.5713733075435,59.0160655737705,65.749010989011,1034,488,546
113,105300,54.2707020872865,55.5979850746269,52.8972972972973,1054,536,518
114,105372,81.6212,83.8569506726457,79.5394780793319,925,446,479
115,105951,64.0766633858268,65.5960680529301,62.4262217659138,1016,529,487
116,106239,52.011919504644,64.3118620689655,33.6726735218509,969,580,389
117,113029,70.2541354292624,66.3259640102828,73.7428538812785,827,389,438
118,115678,73.2759051724138,79.8751452282158,66.1439910313901,928,482,446
119,115994,78.0207802197802,73.6379879275654,83.2949878934625,910,497,413
120,117159,71.1933911368015,72.2725430210325,70.0974757281553,1038,523,515
121,117788,65.3525260718424,65.5576959619953,65.1571040723982,863,421,442
122,118460,65.6191987829615,74.1022306238185,55.7996717724289,986,529,457
123,119642,65.6396138996139,64.5768634686347,66.8056275303644,1036,542,494
124,122554,71.6172057205721,70.8327777777778,72.3276310272537,909,432,477
125,123645,67.1557620452311,70.5859837728195,63.9284732824428,1017,493,524
126,128003,66.6029223300971,68.7382632541133,64.1846376811594,1030,547,483
127,128398,68.6212714156898,68.9924738675958,68.2230093457944,1109,574,535
128,129035,63.575298013245,74.1428136882129,48.9476315789474,906,526,380
129,129898,55.0581576144835,46.2753724604966,62.9024596774194,939,443,496
130,130128,69.1486190009794,69.3168181818182,68.9684787018256,1021,528,493
131,130269,71.6040404040404,78.9031643002028,62.5626633165829,891,493,398
132,130331,64.2475094339623,65.8677859778598,62.5521621621622,1060,542,518
133,130610,60.5379920477137,58.568813559322,62.7393263157895,1006,531,475
134,131450,71.8060780487805,71.8190545454545,71.7910526315789,1025,550,475
135,131469,72.1627836034318,72.3173875432526,71.9730573248408,1049,578,471
136,131731,70.1291774891775,72.6795952782462,67.4380782918149,1155,593,562
137,131739,66.0346993318485,68.7752873563218,62.2299468085106,898,522,376
138,135295,69.5527860696517,68.3523300970874,70.8144897959184,1005,515,490
139,135433,67.0312295081967,56.2874251497006,76.0473869346734,1098,501,597
140,136821,73.0928041237113,77.585,68.9734782608696,970,464,506
141,141622,68.2843142857143,67.8239344262295,68.6840747330961,1050,488,562
142,145337,68.4017726396917,70.209125,66.8470609318996,1038,480,558
143,147992,76.660663507109,78.8139534883721,74.8371991247265,844,387,457
144,148135,66.9044522968198,62.7492156862745,70.7487528344671,849,408,441
145,148744,56.4776683937824,59.2130641821946,53.7365975103734,965,483,482
146,149070,68.0755492957746,70.2796330275229,65.7655,1065,545,520
147,149103,59.7078341463415,65.7658220502901,53.5425196850394,1025,517,508
148,149653,64.8402988047809,62.0245569620253,67.3585283018868,1004,474,530
149,150066,66.6664656084656,58.3333333333333,72.9977839851024,945,408,537
150,150153,69.3864897959184,63.6978841870824,74.1966290018833,980,449,531
151,151057,61.7294197530864,70.8957549234136,49.8625212464589,810,457,353
152,152742,67.4669369369369,62.8326436781609,72.538427672956,999,522,477
153,153649,64.0945436308927,64.5937354085603,63.5633126293996,997,514,483
154,153784,71.385396039604,67.9525152129817,74.658916827853,1010,493,517
155,154350,73.5096799116998,78.5119361702128,68.1173394495413,906,470,436
156,155540,73.6268571428571,75.5751152073733,71.8505042016807,910,434,476
157,155779,66.7753548387097,67.8288695652174,65.7442553191489,930,460,470
158,155806,71.9846228448276,72.9736936936937,71.0772933884298,928,444,484
159,156912,67.348137755102,68.7006631299735,66.0953071253071,784,377,407
160,157343,69.0823448275862,73.0791902834008,63.8311702127659,870,494,376
161,157780,66.6668524970964,68.0322950819672,64.8804289544236,861,488,373
162,157830,72.7970350690754,75.5001992031873,69.7059453302961,941,502,439
163,160303,70.9288350515464,68.3995754716981,72.8929487179487,970,424,546
164,160331,64.0055680539932,63.7375675675676,64.2729662921348,889,444,445
165,160425,52.7386466165414,59.7804175824176,46.0075420168067,931,455,476
166,160716,71.9188282828283,79.6580942184154,65.008240917782,990,467,523
167,161411,69.9989431818182,72.160289532294,67.7473317865429,880,449,431
168,162665,53.2232655367232,75.9404930966469,22.7533333333333,885,507,378
169,163280,61.6662457722661,66.8787261146497,55.7646153846154,887,471,416
170,163371,67.3087575392039,68.2929268292683,66.1345238095238,829,451,378
171,164053,70.4347835269271,70.4764870689655,70.3947204968944,947,464,483
172,164979,64.9727182320442,69.7759229208925,59.2251941747573,905,493,412
173,165412,53.4843227091634,58.8570468431772,48.342007797271,1004,491,513
174,166576,68.2830295857988,65.8157908163265,70.4180353200883,845,392,453
175,166587,67.2007568807339,65.0181974248927,69.7058620689655,872,466,406
176,166702,61.4377122641509,63.0028400954654,59.9090675990676,848,419,429
177,166866,69.6525320197044,71.9718951612903,67.4359537572254,1015,496,519
178,167319,72.6306896551724,72.5568510638298,72.7064628820961,928,470,458
179,168156,73.7339662447257,74.8316179775281,72.7628827037773,948,445,503
180,168726,72.814251497006,75.5540444444444,69.6118961038961,835,450,385
181,169421,56.2417799752781,51.8990379746836,60.3852173913043,809,395,414
182,169856,69.2774798619102,65.6211460674157,73.1149056603774,869,445,424
183,170460,68.3696796796797,70.2627744510978,66.4651807228916,999,501,498
184,170690,58.4865297297297,60.1716666666667,56.8050323974082,925,462,463
185,171383,59.5561159062885,75.3847948717949,44.8929691211401,811,390,421
186,172844,54.1646412037037,69.227841191067,40.9965943600868,864,403,461
187,173223,64.8797073170732,56.2046329113924,72.9424235294118,820,395,425
188,173403,65.4099622641509,62.6347894736842,67.9510843373494,795,380,415
189,173687,70.6785557986871,70.8824105011933,70.506,914,419,495
190,173856,71.4437997724687,70.7776255707763,72.1054421768708,879,438,441
191,174218,66.183103030303,66.4028266666667,66,825,375,450
192,174269,60.1882464454976,61.0746835443038,59.3046056782334,633,316,317
193,174465,54.2127295597484,45.9600557103064,61.0079357798165,795,359,436
194,175137,54.7984217171717,45.3809510869565,62.9720754716981,792,368,424
195,175560,69.3119635890767,72.069829424307,65.0005,769,469,300
