"MotifID","Position","Frm","FrmP","FrmN","Total_Coverage","CoverageP","CoverageN"
1,258,78.3375,84.62,66.67,60,39,21
2,492,75,67.65,82.35,68,34,34
3,598,91.3073913043478,95.24,85.19,69,42,27
4,661,93.1775,95.74,90.24,88,47,41
5,903,78.2039743589744,79.07,77.14,78,43,35
6,1040,88.5255737704918,84.38,93.1,61,32,29
7,1875,82.14,89.58,72.22,84,48,36
8,1948,84.0893181818182,89.47,80,88,38,50
9,2632,89.99875,88.57,91.11,80,35,45
10,2991,88.8855555555556,83.33,93.33,81,36,45
11,3256,93.75425,88.24,97.83,80,34,46
12,4360,90.261592920354,85.96,94.64,113,57,56
13,4599,83.8092380952381,81.13,86.54,105,53,52
14,4710,77.499375,52,89.09,80,25,55
15,6260,84.2683146067416,78.12,87.72,89,32,57
16,7198,2.74047945205479,3.39,2.3,146,59,87
17,8012,62.2469387755102,73.17,54.39,98,41,57
18,8269,77.6252447552448,80.65,75.31,143,62,81
19,8859,83.6087704918033,84.75,82.54,122,59,63
20,10058,79.2327692307692,70.37,85.53,130,54,76
21,10628,71.0573684210526,59.62,80.65,114,52,62
22,11554,83.8729838709677,84.62,83.05,124,65,59
23,12711,72.3582926829268,81.67,63.49,123,60,63
24,12720,69.4215702479339,67.24,71.43,121,58,63
25,12818,86.5547058823529,79.59,91.43,119,49,70
26,13642,68.2578571428572,70.18,66.67,126,57,69
27,14301,78.1918796992481,77.46,79.03,133,71,62
28,14623,71.8142953020134,74.67,68.92,149,75,74
29,17138,81.1436065573771,76.92,85.96,122,65,57
30,17310,81.8184848484848,91.07,69.77,99,56,43
31,18384,75.9151094890511,81.93,66.67,137,83,54
32,19003,81.5129411764706,68.42,93.55,119,57,62
33,19309,82.1139024390244,82.61,81.48,123,69,54
34,22712,81.8181818181818,83.64,80.3,121,55,66
35,22991,76.0664102564103,65.57,87.5,117,61,56
36,23339,83.1885840707965,72.31,97.92,113,65,48
37,25798,85.7167032967033,91.67,81.82,91,36,55
38,26010,24.1816993464052,31.08,17.72,153,74,79
39,27035,76.7619014084507,77.78,75.41,142,81,61
40,28724,84.8228571428571,77.78,91.38,112,54,58
41,29268,81.353220338983,74,86.76,118,50,68
42,29465,78.90796875,71.93,84.51,128,57,71
43,30207,74.4397744360902,69.57,79.69,133,69,64
44,31753,84.0277083333333,84.93,83.1,144,73,71
45,31938,87.12,92.42,81.82,132,66,66
46,33795,81.60096,83.1,79.63,125,71,54
47,34588,86.2088793103448,82.54,90.57,116,63,53
48,34701,78.261652173913,84.21,66.67,115,76,39
49,35211,80.8004,73.85,88.33,125,65,60
50,35306,80.4861788617886,76.12,85.71,123,67,56
51,35949,63.5491588785047,52.08,72.88,107,48,59
52,36221,84.8911510791367,81.08,89.23,139,74,65
53,38083,54.7355789473684,46.34,61.11,95,41,54
54,38089,70.1513432835821,68.06,72.58,134,72,62
55,39889,59.805,64.71,54.9,102,51,51
56,39980,64.3366433566433,63.38,65.28,143,71,72
57,40278,60.6045454545455,72.46,47.62,132,69,63
58,40435,74.105,73.21,75,112,56,56
59,40637,22.3775524475524,21.62,23.19,143,74,69
60,40764,47.1871126760563,46.38,47.95,142,69,73
61,41015,64.9569230769231,64.06,66.04,117,64,53
62,41205,75.4350877192982,63.04,83.82,114,46,68
63,41348,68.5956198347107,52.17,78.67,121,46,75
64,42533,92.4375630252101,93.33,91.53,119,60,59
65,43152,83.8995762711864,79.59,86.96,118,49,69
66,43258,81.6675,87.69,74.55,120,65,55
67,44324,89.626,86.36,92.75,135,66,69
68,44357,86.3238461538461,83.33,88.89,117,54,63
69,44684,77.7802777777778,72.55,82.46,108,51,57
70,44873,82.8266666666667,90.91,76.36,99,44,55
71,45201,82.9058974358974,84.75,81.03,117,59,58
72,45446,86.2389908256881,83.61,89.58,109,61,48
73,46200,93.7529464285714,92.73,94.74,112,55,57
74,47217,69.4063432835821,70.67,67.8,134,75,59
75,47514,90.001,90.91,88.89,120,66,54
76,48490,48.0629457364341,36.92,59.38,129,65,64
77,48749,76.289381443299,79.71,67.86,97,69,28
78,49412,76.6956310679612,71.15,82.35,103,52,51
79,49555,72.6565625,74.55,71.23,128,55,73
80,49609,59.9985714285714,67.27,52,105,55,50
81,49691,84.8710084033613,83.33,86.79,119,66,53
82,50405,70.27,66,73.77,111,50,61
83,50754,71.2757446808511,63.89,75.86,94,36,58
84,51163,58.39696,51.22,61.9,125,41,84
85,52079,75.9495569620253,79.1,73.63,158,67,91
86,52858,81.0241605839416,84.13,78.38,137,63,74
87,53173,77.3998630136986,77.03,77.78,146,74,72
88,53184,73.4371875,72.73,74.19,128,66,62
89,53301,60.836,64.71,55.77,120,68,52
90,54795,86.2613740458015,82.28,92.31,131,79,52
91,54840,91.4891489361702,89.61,93.75,141,77,64
92,55391,69.4430555555556,75.34,63.38,144,73,71
93,55684,86.1318248175183,86.3,85.94,137,73,64
94,56408,83.9472839506173,88.57,80.43,162,70,92
95,56578,79.5895238095238,82.14,78.02,147,56,91
96,56663,76.9693333333333,76.12,77.55,165,67,98
97,57478,70.4561363636364,69.05,71.74,176,84,92
98,57672,78.0333526011561,69.89,87.5,173,93,80
99,57750,85.4299337748344,75.61,97.1,151,82,69
100,58057,66.2569325153374,68.6,63.64,163,86,77
101,58095,70.7852247191011,74.19,67.06,178,93,85
102,59322,73.2257480314961,68.85,77.27,127,61,66
103,59335,75.34,73.97,76.71,146,73,73
104,59477,72.5392957746479,54.39,84.71,142,57,85
105,59708,78.4322222222222,80,77.11,153,70,83
106,60044,80.9549206349206,73.53,89.66,126,68,58
107,60274,75.1972,73.21,76.81,125,56,69
108,61379,72.9436470588235,75.31,70.79,170,81,89
109,62702,81.1467213114754,70.91,89.55,122,55,67
110,62906,63.0106849315068,73.33,52.11,146,75,71
111,64998,66.441677852349,74.65,58.97,149,71,78
112,65583,61.5373426573427,49.18,70.73,143,61,82
113,66076,45.0421374045801,38.64,48.28,131,44,87
114,66388,66.952,73.68,60.34,115,57,58
115,66505,71.0121739130435,63.38,79.1,138,71,67
116,66900,59.6904651162791,51.52,68.25,129,66,63
117,67464,61.7126285714286,52.17,72.29,175,92,83
118,68426,61.2909677419355,68.37,49.12,155,98,57
119,68864,69.7831654676259,46.94,82.22,139,49,90
120,72045,68.3115492957746,73.08,62.5,142,78,64
121,72206,80.9197368421053,78.48,83.56,152,79,73
122,72288,73.4661904761905,68.35,79.41,147,79,68
123,72414,82.875,82.02,84.21,146,89,57
124,72637,65.1833333333333,58.73,70.83,135,63,72
125,72711,63.4617307692308,63.38,63.53,156,71,85
126,72720,54.68703125,59.09,50,128,66,62
127,72965,77.5210852713178,74.58,80,129,59,70
128,73017,57.7213422818792,52.24,62.2,149,67,82
129,73106,67.1241095890411,72.94,59.02,146,85,61
130,73155,75.8621551724138,76,75.61,116,75,41
131,73176,67.8802919708029,75.71,59.7,137,70,67
132,73202,66.431,64.52,67.95,140,62,78
133,73657,68.4913698630137,64.06,71.95,146,64,82
134,74627,91.7451376146789,98.04,86.21,109,51,58
135,75771,60.9719512195122,53.33,68.25,123,60,63
136,75788,64.3372027972028,60.81,68.12,143,74,69
137,76212,76.2286885245902,76.19,76.27,122,63,59
138,76390,76.2236363636364,82.86,69.86,143,70,73
139,77460,69.5390804597701,72.29,67.03,174,83,91
140,78246,70.1748245614035,69.77,70.42,114,43,71
141,80836,63.9976,74.32,49.02,125,74,51
142,82644,80.5821359223301,85.42,76.36,103,48,55
143,83778,76.428,83.33,69.12,140,72,68
144,89702,70.9306976744186,76.84,63.64,172,95,77
145,90319,81.8218181818182,84.62,79.49,143,65,78
146,90706,67.3740425531915,72.46,62.5,141,69,72
147,91104,69.3728125,65.33,72.94,160,75,85
148,92380,71.1093333333333,72.22,69.84,135,72,63
149,92522,60.4616279069767,51.92,66.23,129,52,77
150,92943,60.0005925925926,53.52,67.19,135,71,64
151,93325,64.9282835820895,47.46,78.67,134,59,75
152,93708,69.8118867924528,73.91,66.67,106,46,60
153,95423,50.8596551724138,37.5,60.29,116,48,68
154,97219,69.3437226277372,68.85,69.74,137,61,76
155,98092,75.9124817518248,74.63,77.14,137,67,70
156,98316,87.0933870967742,87.23,87.01,124,47,77
157,98895,75.8032258064516,71.21,81.03,124,66,58
158,98991,81.1591304347826,80.82,81.54,138,73,65
159,100153,66.6657575757576,67.65,65.62,132,68,64
160,101196,80.4353623188406,78.75,82.76,138,80,58
161,101442,74.5069281045752,77.46,71.95,153,71,82
162,101621,81.5284713375796,81.71,81.33,157,82,75
163,101645,83.8711612903226,90.41,78.05,155,73,82
164,101987,71.2140909090909,74.36,66.67,132,78,54
165,102577,78.90484375,67.24,88.57,128,58,70
166,103183,77.8771681415929,69.7,89.36,113,66,47
167,104863,77.5677570093458,69.35,88.89,107,62,45
168,106974,84.7233333333333,78.75,92.19,144,80,64
169,109167,61.5838418079096,52.94,69.57,177,85,92
170,109331,67.7430322580645,66.67,68.83,155,78,77
171,109647,78.8570285714286,81.72,75.61,175,93,82
172,110693,79.1923489932886,76.74,82.54,149,86,63
173,110719,71.4297478991597,54,84.06,119,50,69
174,111081,76.56359375,84.15,63.04,128,82,46
175,111953,69.0936363636364,63.77,72.92,165,69,96
176,112496,82.394014084507,83.53,80.7,142,85,57
177,113156,67.5482781456954,66.23,68.92,151,77,74
178,113311,73.3331111111111,72.73,73.91,135,66,69
179,114932,76.4251219512195,84.85,66.67,123,66,57
180,115547,70.9689247311828,69.77,72,93,43,50
181,116292,68.4230263157895,50,84.15,152,70,82
182,118075,75.20056,69.74,83.67,125,76,49
183,119122,87.9690977443609,81.13,92.5,133,53,80
184,119641,86.2588549618321,81.33,92.86,131,75,56
185,119739,75.3980952380952,75,75.76,126,60,66
186,120198,80.1480882352941,74.19,85.14,136,62,74
187,120814,52.9442483660131,49.37,56.76,153,79,74
188,124149,74.3066666666667,75,73.08,144,92,52
189,124313,68.3774358974359,72.58,63.64,117,62,55
190,125129,74.9985714285714,93.18,44.23,140,88,52
191,125441,79.8698701298701,89.74,69.74,154,78,76
192,125819,72.4353205128205,81.93,61.64,156,83,73
193,126195,80.9182236842105,95.77,67.9,152,71,81
194,126526,70.6303496503496,63.38,77.78,143,71,72
195,127820,89.3653191489362,85.51,93.06,141,69,72
196,129611,72.498375,69.51,75.64,160,82,78
197,129794,68.7020610687023,64.47,74.55,131,76,55
198,135326,75.4960927152318,76.71,74.36,151,73,78
199,135723,54.4754471544715,56.72,51.79,123,67,56
200,135934,63.3004587155963,52.83,73.21,109,53,56
201,136463,81.5519417475728,83.67,79.63,103,49,54
202,136585,77.3070588235294,80.3,73.58,119,66,53
203,137278,69.6224050632911,72.55,64.29,79,51,28
204,137319,77.5477551020408,84.31,70.21,98,51,47
205,138058,88.18,93.33,82,110,60,50
206,138378,76.72,72.41,81.03,116,58,58
207,138501,78.3003773584906,70.59,85.45,106,51,55
208,139131,85.554,87.5,83.33,90,48,42
209,140146,85.3308,86.36,83.87,75,44,31
210,140789,76.1381818181818,76,76.32,88,50,38
211,140831,83.0207547169811,92.73,72.55,106,55,51
212,141326,67.2727272727273,60,76,110,60,50
213,142157,81.308785046729,83.87,77.78,107,62,45
214,144013,9.75918699186992,13.16,4.26,123,76,47
215,144251,75.3732835820896,75.61,75,134,82,52
216,144340,86.3005479452055,92,80.28,146,75,71
217,145529,73.2391549295775,78.43,70.33,142,51,91
