"MotifID","Position","Frm","FrmP","FrmN","Total_Coverage","CoverageP","CoverageN"
1,620,97.6831481481481,95.6283495145631,99.5561061946903,432,206,226
2,727,98.3059661016949,99.3495454545454,97.166170212766,295,154,141
3,782,99.5510762331838,99.4706349206349,99.610233463035,446,189,257
4,881,98.648027027027,97.4689873417721,99.5267452830189,370,158,212
5,1168,98.0895793499044,96.6567657992565,99.6070078740157,523,269,254
6,1570,98.9256630824373,99.2791366906475,98.5747142857143,558,278,280
7,1635,99.4546812386157,100,98.8702641509434,549,284,265
8,1724,98.4025044404973,97.0046816479401,99.6633783783784,563,267,296
9,2021,99.3272268907563,98.9967333333333,99.6633220338983,595,300,295
10,2354,98.3617049180328,97.5617682926829,99.2921276595745,610,328,282
11,2516,99.6805741626794,99.3560128617363,100,627,311,316
12,2633,99.4990954773869,99.2779710144928,99.6892211838006,597,276,321
13,2762,98.5230213464696,97.2423448275862,99.6872727272727,609,290,319
14,3074,97.6434119496855,98.7779816513762,96.4427508090615,636,327,309
15,3263,97.7980366972477,97.3330666666667,98.12496875,545,225,320
16,3756,98.2582278481013,98.3666666666667,98.1564417177914,632,306,326
17,3905,99.0744444444444,98.6668,99.4258620689655,648,300,348
18,4821,98.7507321428571,97.5099004975124,99.4454596100279,560,201,359
19,4917,98.6338225255973,97.7952941176471,99.3601910828025,586,272,314
20,5346,98.8659319286872,98.5226568265683,99.1347976878613,617,271,346
21,5490,100,100,100,627,338,289
22,5852,98.5009833333333,98.7724,98.1802181818182,600,325,275
23,6034,97.6237240356083,98.6119944598338,96.4838977635783,674,361,313
24,6062,97.7165019011407,97.9289655172414,97.4554237288136,526,290,236
25,6356,99.5595307917889,99.4232183908046,99.7015568862276,682,348,334
26,6515,95.0148442367601,99.1620891364903,89.753851590106,642,359,283
27,6598,99.1987158908507,99.4100591715977,98.9480701754386,623,338,285
28,6788,99.1220321637427,98.5257522123894,99.7079420289855,684,339,345
29,6803,98.4304,98.1845454545455,98.7308888888889,700,385,315
30,7917,95.3954880294659,92.1560392156863,98.26375,543,255,288
31,8431,99.5832962447844,99.3960909090909,99.7421079691517,719,330,389
32,8445,99.8646278755074,100,99.7174011299435,739,385,354
33,8583,99.213034591195,98.7374447949527,99.6856426332288,636,317,319
34,8617,97.9414540466392,97.1649858356941,98.6704255319149,729,353,376
