"MotifID","Position","Frm","FrmP","FrmN","Total_Coverage","CoverageP","CoverageN"
1,43,66.6666666666667,76.84,53.95,171,95,76
2,71,67.305,75.64,58.97,156,78,78
3,238,67.0273513513513,73.74,59.3,185,99,86
4,311,68.5093922651934,80.2,53.75,181,101,80
5,1226,76.9233484162896,83.48,69.81,221,115,106
6,3129,68.5597379912664,74.42,61,229,129,100
7,3966,52.6315789473684,55,49.6,285,160,125
8,4848,76.5194736842105,78.66,72.29,247,164,83
9,5241,49.61109375,49.63,49.59,256,135,121
10,5322,53.7037037037037,38.52,66.22,270,122,148
11,5407,63.6650173010381,68.53,58.9,289,143,146
12,5852,68.4367375886525,60.58,75.86,282,137,145
13,7194,78.4195440729483,75.62,81.07,329,160,169
14,7245,73.2169152542373,70.21,75.97,295,141,154
15,7475,71.5573952095808,66.45,75.98,334,155,179
16,7904,51.3319391634981,38.1,68.1,263,147,116
17,7911,42.2086692015209,26.06,61.16,263,142,121
18,10064,70.127012987013,62.96,76.42,231,108,123
19,11437,75.5103206997085,77.33,73.68,343,172,171
20,12908,71.0442424242424,65.97,75.82,297,144,153
21,14284,71.6609446254072,64.43,78.48,307,149,158
22,16578,76.3448745519713,72.14,80.58,279,140,139
23,18392,75.000523255814,72.79,76.65,344,147,197
24,19046,67.1198644067797,45.36,77.78,295,97,198
25,20674,68.4855305466238,60.58,74.71,311,137,174
26,20704,75.0001111111111,68.07,80.93,360,166,194
27,21529,70.228988764045,70.17,70.29,356,181,175
28,21556,70.7865060240964,69.66,71.66,332,145,187
29,22402,78.1227840909091,70,85.71,352,170,182
30,24095,55.4787591240876,62.35,45.54,274,162,112
31,26062,69.8385901639344,73.47,66.46,305,147,158
32,26741,69.0834700315457,76.83,60.78,317,164,153
33,26896,79.508501529052,77.84,81.25,327,167,160
34,27796,53.7836363636364,57.59,48.11,264,158,106
35,30082,70.3703703703704,73.72,66.92,270,137,133
36,30171,64.3091245791246,72.28,51.33,297,184,113
