"MotifID","Position","Frm","FrmP","FrmN","Total_Coverage","CoverageP","CoverageN"
1,620,99.5692207792208,99.07,100,231,107,124
2,727,99.4315340909091,100,98.85,176,89,87
3,782,99.1709543568465,98.15,100,241,108,133
4,881,99.5089655172414,98.88,100,203,89,114
5,1168,99.3194880546075,98.73,100,293,157,136
6,1570,99.6787055016181,100,99.32,309,163,146
7,1635,100,100,100,314,171,143
8,1724,100,100,100,305,158,147
9,2021,99.6855,100,99.32,320,172,148
10,2354,98.786170212766,98.29,99.35,329,175,154
11,2516,99.0938253012048,99.37,98.84,332,159,173
12,2633,99.1180294117647,98.09,100,340,157,183
13,2762,99.1617647058823,98.25,100,357,171,186
14,3074,98.1271849865952,97.44,98.88,373,195,178
15,3263,99.0800611620795,100,98.22,327,158,169
16,3756,98.6354918032787,100,97.21,366,187,179
17,3905,99.7477272727273,100,99.46,396,211,185
18,4821,99.7055162241888,99.33,100,339,149,190
19,4917,98.9043835616438,97.85,100,365,186,179
20,5346,98.7426381909548,98.98,98.51,398,197,201
21,5490,100,100,100,395,226,169
22,5852,98.8203244837758,97.97,100,339,197,142
23,6034,99.2555970149254,100,98.29,402,227,175
24,6062,99.0283116883117,98.26,100,308,172,136
25,6356,99.7586956521739,99.55,100,414,222,192
26,6515,97.5966844919786,99.54,94.94,374,216,158
27,6598,99.7074561403509,100,99.31,342,197,145
28,6788,99.7366402116402,100,99.45,378,197,181
29,6803,98.9767007672634,98.71,99.37,391,233,158
30,7917,95.455,91.56,99.35,308,154,154
31,8431,100,100,100,392,186,206
32,8445,99.5039900249377,99.1,100,401,221,180
33,8583,99.7019760479042,100,99.37,334,176,158
34,8617,99.2311025641026,98.43,100,390,191,199
35,8628,99.384012345679,99.43,99.33,324,175,149
36,8760,100,100,100,400,226,174
37,8836,98.5510404624277,97.14,99.51,346,140,206
38,9100,100,100,100,340,151,189
39,9174,97.1890625,95.73,98.03,320,117,203
40,9181,98.4491450777202,97.61,99.44,386,209,177
41,9343,98.3127528089887,100,95.77,356,214,142
42,9462,100,100,100,408,193,215
43,9621,100,100,100,351,186,165
44,9648,100,100,100,353,188,165
45,9690,99.73344,99.51,100,375,204,171
46,9916,98.854683908046,98.14,99.47,348,161,187
47,10019,99.4481994459834,100,98.8,361,195,166
48,10076,99.7403875968992,99.49,100,387,197,190
49,10601,94.7348753462604,92.97,96.59,361,185,176
50,11327,98.166880733945,98.85,97.39,327,174,153
51,11494,94.7157358490566,86.36,98.87,265,88,177
52,11664,99.7006606606607,99.44,100,333,178,155
53,12260,99.636336996337,100,99.32,273,127,146
54,12871,99.729435483871,99.39,100,372,165,207
55,12902,100,100,100,357,151,206
56,12926,100,100,100,378,172,206
57,13094,99.2036074270557,98.81,99.52,377,168,209
58,13396,99.7382767624021,99.44,100,383,179,204
59,13576,99.6467605633803,100,99.24,284,152,132
60,13657,99.7288108108108,99.42,100,370,173,197
61,14315,98.1056216216216,100,96.46,370,172,198
62,14367,99.7497229219144,100,99.52,397,190,207
63,14573,99.7474747474748,99.5,100,396,200,196
64,14744,100,100,100,286,73,213
65,14751,100,100,100,398,193,205
66,14895,98.7072868217054,98.84,98.6,387,173,214
67,14972,100,100,100,363,182,181
68,15382,98.4686850152905,99.47,97.08,327,190,137
69,15851,98.5202955665025,98.5,98.54,406,200,206
70,16539,97.8271739130435,96.45,98.9,322,141,181
71,16731,98.5801418439716,100,96.15,282,178,104
72,16869,97.0520655737705,93.75,99.44,305,128,177
73,17461,96.1376848874598,92.75,98.84,311,138,173
74,17746,99.438647887324,98.94,100,355,188,167
75,17844,100,100,100,310,160,150
76,17870,97.7054426229508,93.52,100,305,108,197
77,17948,99.7226666666667,99.48,100,360,192,168
78,17979,96.3892779783394,94.31,98.05,277,123,154
79,18362,99.68,100,99.22,312,184,128
80,18485,99.4560109289617,100,98.9,366,185,181
81,18549,97.7063606557377,97.2,97.98,305,107,198
82,19156,99.7301086956522,99.48,100,368,191,177
83,20831,89.7024463519313,84.27,93.06,233,89,144
84,20879,99.3057291666667,100,98.45,288,159,129
85,20909,99.4308522727273,98.94,100,352,189,163
86,21735,99.2986182669789,98.51,100,427,201,226
87,22449,99.3930909090909,99.29,99.47,330,141,189
88,22497,100,100,100,399,202,197
89,22694,99.5110975609756,100,99.05,410,199,211
90,23043,100,100,100,364,140,224
91,23186,96.915,100,93.83,324,162,162
92,23217,100,100,100,378,157,221
93,23352,100,100,100,386,188,198
94,23423,99.469414893617,100,98.95,376,186,190
95,23627,100,100,100,353,157,196
96,23667,99.7085964912281,99.34,100,342,151,191
97,23702,99.4892307692308,98.8,100,390,166,224
98,23720,100,100,100,342,111,231
99,23919,100,100,100,380,159,221
100,23936,100,100,100,368,155,213
101,23955,100,100,100,397,177,220
102,24004,99.4084615384615,99.45,99.36,338,182,156
103,24116,99.4848051948052,99.43,99.53,385,174,211
104,24320,99.7642452830189,99.51,100,424,204,220
105,24399,99.42,98.55,100,345,138,207
106,24444,98.8524137931035,97.44,100,348,156,192
107,25219,97.9336950904393,96.86,98.98,387,191,196
108,25274,98.8075223880597,98.5,99.01,335,133,202
109,25294,99.3527741935484,100,98.48,310,178,132
110,25450,99.7132564841499,100,99.5,347,148,199
111,25579,100,100,100,378,183,195
112,26162,99.6932923076923,100,99.44,325,147,178
113,26256,100,100,100,339,143,196
114,26283,100,100,100,370,177,193
115,26478,99.1144542772861,98.1,100,339,158,181
116,26808,99.3134020618557,100,98.15,291,183,108
117,27734,99.696,99.34,100,330,152,178
118,27798,99.6805079365079,99.26,100,315,136,179
119,27993,99.4001492537314,99.41,99.39,335,170,165
120,28149,98.3050508474576,99.37,97.06,295,159,136
121,28496,100,100,100,309,170,139
122,28674,98.6531390134529,98.04,99.17,223,102,121
123,28905,99.1652719665272,100,98.25,239,125,114
124,28927,99.6335531135531,99.18,100,273,122,151
125,29070,99.6103515625,100,99.05,256,151,105
126,29120,98.845,98.46,99.23,260,130,130
127,29179,95.744170212766,93.75,97.56,235,112,123
128,29445,84.4651394422311,90.67,75.25,251,150,101
129,29784,97.4326373626374,97.22,97.67,273,144,129
130,30120,99.001196013289,98.61,99.36,301,144,157
131,30569,99.6606060606061,100,99.4,297,129,168
132,31406,99.3249494949495,98.77,100,297,163,134
133,31447,99.7074336283186,99.42,100,339,171,168
134,32117,99.6856603773585,100,99.32,318,171,147
135,34030,96.1774305555555,95.1,97.24,288,143,145
136,34077,98.2565156794425,98.36,98.18,287,122,165
137,34387,96.7879099678457,96.27,97.18,311,134,177
138,34483,97.7138235294118,96.3,98.83,306,135,171
139,34780,97.9462564102564,98.21,97.84,195,56,139
140,34889,99.6480281690141,99.16,100,284,119,165
141,35118,99.6768488745981,99.33,100,311,150,161
142,35220,100,100,100,316,142,174
143,35398,99.6474385964912,99.36,100,285,157,128
144,35534,100,100,100,304,152,152
145,35717,100,100,100,274,119,155
146,36031,97.1785483870968,97.78,96.46,248,135,113
147,36106,96.8511023622047,93.81,98.73,254,97,157
148,36129,97.7846863468635,95.15,99.4,271,103,168
149,36319,96.6902941176471,97.73,95.71,272,132,140
150,36329,93.5158333333333,94.26,92.55,216,122,94
151,36571,99.1975100401606,98.06,100,249,103,146
152,36728,97.2863565891473,97.08,97.52,258,137,121
153,36757,99.0571226415094,99.1,99.01,212,111,101
154,36767,99.1623529411765,99.28,99,238,138,100
155,36832,100,100,100,276,135,141
156,36970,100,100,100,313,161,152
157,37007,99.3915501519757,99.36,99.42,329,156,173
158,37514,99.6944785276074,100,99.4,326,160,166
159,37780,97.8363636363636,97.5,98.2,231,120,111
160,38426,99.6608474576271,100,99.31,295,150,145
161,38988,100,100,100,293,120,173
162,39110,99.3625477707006,98.61,100,314,144,170
163,39284,100,100,100,290,150,140
164,39300,99.6261654135338,99.12,100,266,113,153
165,39328,99.2960563380282,98.53,100,284,136,148
166,39524,99.6293726937269,100,99.19,271,147,124
167,40070,97.8731914893617,95.24,100,282,126,156
168,40220,99.2250193050193,99.23,99.22,259,130,129
169,40778,98.8461538461538,97.5,100,260,120,140
170,40850,97.3441150442478,99.17,95.24,226,121,105
171,41017,99.2436603773585,100,98.47,265,134,131
172,41330,99.5936585365854,99.02,100,246,102,144
173,41597,97.0483544303797,97.98,96.38,237,99,138
174,41607,92.2115568862275,85.71,96.15,167,63,104
175,41657,96.5974468085106,96.12,96.97,235,103,132
176,41836,96.3308163265306,95.73,96.88,245,117,128
177,42195,90.4778306878307,80.26,97.35,189,76,113
178,42515,99.6003614457831,99.07,100,249,107,142
179,42743,98.334,98.61,97.92,120,72,48
180,42748,99.5540178571429,100,99.1,224,113,111
181,43135,97.915125,97.67,98.2,240,129,111
182,43369,100,100,100,259,122,137
183,43377,98.1379069767442,100,95.29,215,130,85
184,43759,100,100,100,287,114,173
185,43968,99.6455123674912,100,99.34,283,131,152
186,43980,99.3431578947368,100,98.72,304,148,156
187,44049,99.3806769230769,99.36,99.4,325,157,168
188,44094,99.6758709677419,100,99.36,310,153,157
189,44129,97.5913253012048,94.12,100,249,102,147
190,44393,100,100,100,291,155,136
191,44564,100,100,100,334,173,161
192,44648,100,100,100,319,162,157
193,44744,99.0462738853503,99.31,98.82,314,145,169
194,44821,100,100,100,331,179,152
195,44981,100,100,100,299,117,182
196,45132,99.645409252669,99.06,100,281,106,175
197,45832,95.05,91.45,98.25,323,152,171
198,46197,99.7125217391304,99.43,100,345,174,171
199,46282,99.6757281553398,100,99.4,309,142,167
200,46347,94.310243902439,82.72,100,246,81,165
201,46446,99.3345695364238,99.22,99.42,302,129,173
202,46510,99.4784675324675,99.03,100,385,207,178
203,46575,100,100,100,348,155,193
204,46806,99.0590909090909,100,97.93,319,174,145
205,46980,99.4754308093995,99.49,99.46,383,197,186
206,47115,96.4105988023952,93.06,98.95,334,144,190
207,47415,96.91,96.91,96.91,194,97,97
208,47420,99.4262643678161,100,98.51,174,107,67
209,47477,95.5273801916933,97.16,93.43,313,176,137
210,47855,99.1097922848665,100,97.6,337,212,125
211,47874,100,100,100,357,193,164
212,47992,98.5834375,98.31,98.86,352,177,175
213,48120,99.4862148337596,99.51,99.46,391,205,186
214,48246,100,100,100,373,172,201
215,48897,99.4728232189973,100,98.89,379,199,180
216,48951,99.1536338028169,100,98.19,355,189,166
217,49054,99.3025524475524,98.17,100,286,109,177
218,49060,99.3068055555556,99.37,99.23,288,158,130
219,49186,98.7418867924528,97.54,99.49,318,122,196
220,49512,99.2357251908397,99,99.48,393,200,193
221,49826,99.2606419753086,100,98.48,405,208,197
222,49854,98.8756554307116,96.05,100,267,76,191
223,49902,99.7301608579089,99.45,100,373,183,190
224,50031,99.683596214511,99.15,100,317,118,199
225,50839,99.7309139784946,100,99.45,372,190,182
226,50855,99.6901863354037,100,99.42,322,150,172
227,50971,99.1612256267409,99.46,98.84,359,186,173
228,50993,99.7123076923077,100,99.49,351,153,198
229,51022,100,100,100,316,162,154
230,51112,100,100,100,316,181,135
231,51173,99.1273255813954,98.1,100,344,158,186
232,51302,98.6505660377359,98.94,98.35,371,189,182
233,51452,100,100,100,350,175,175
234,51602,99.1522033898305,98.17,100,354,164,190
235,51703,97.6736046511628,94.87,100,172,78,94
236,51919,99.3327759197324,100,98.5,299,166,133
237,52221,100,100,100,377,202,175
238,52354,100,100,100,347,154,193
239,52365,99.7395833333333,100,99.5,384,184,200
240,52616,99.4464444444445,98.94,100,360,188,172
241,53067,99.6633783783784,100,98.94,296,202,94
242,53391,99.6560137457045,98.9,100,291,91,200
243,53518,99.7219944598338,100,99.48,361,168,193
244,53653,98.1003164556962,99.43,96.45,316,175,141
245,53683,100,100,100,285,185,100
246,53710,99.6963525835866,100,99.46,329,144,185
247,53813,99.4283142857143,100,98.93,350,163,187
248,53978,100,100,100,298,94,204
249,54091,100,100,100,346,161,185
250,54133,100,100,100,339,167,172
251,54161,100,100,100,312,147,165
252,54308,100,100,100,339,174,165
253,54367,100,100,100,352,152,200
254,54412,99.6455123674912,100,99.43,283,107,176
255,54472,99.630110701107,100,99.44,271,92,179
256,54479,99.6577319587629,100,99.17,291,171,120
257,54662,100,100,100,350,161,189
258,55025,99.6992814371257,99.38,100,334,162,172
259,55547,100,100,100,325,174,151
260,56102,100,100,100,373,190,183
261,56144,99.3767289719626,98.83,100,321,171,150
262,56421,99.6599658703072,100,99.19,293,170,123
263,56481,97.3952442996743,97.42,97.37,307,155,152
264,56517,100,100,100,360,192,168
265,56757,99.7280216802168,99.48,100,369,193,176
266,57766,98.0926190476191,97.89,98.26,210,95,115
267,57850,99.6266542750929,100,99.17,269,148,121
268,58934,85.2377142857143,82.29,87.72,210,96,114
269,59408,97.8580357142857,97.32,98.47,280,149,131
270,59813,100,100,100,259,103,156
271,60011,99.6533333333333,99.22,100,288,128,160
272,60377,99.6794838709677,99.28,100,310,138,172
273,60412,99.6340363636364,100,99.26,275,139,136
274,60581,99.2975352112676,98.67,100,284,150,134
275,60893,99.4791145833333,100,99.27,192,55,137
276,60898,98.7007142857143,97.67,99.1,154,43,111
277,60914,99.6465017667845,100,99.18,283,161,122
278,60973,99.0693498452012,98.2,100,323,167,156
279,61033,99.3072664359862,100,98.6,289,146,143
280,61052,99.6190421455939,100,99.39,261,98,163
281,61069,99.207619047619,98.72,100,252,156,96
282,61118,100,100,100,303,137,166
283,61265,100,100,100,191,61,130
284,61270,97.7286363636364,98.94,96.34,176,94,82
285,61291,97.5949484536083,96.03,98.79,291,126,165
286,61318,99.3778260869565,99.44,99.3,322,179,143
287,61442,99.7038461538462,99.45,100,338,182,156
288,61471,98.8306614785992,98.92,98.78,257,93,164
289,61501,98.2359010600707,97.37,98.82,283,114,169
290,61739,100,100,100,336,164,172
