"MotifID","Frm","Total_Coverage","Position"
1,92.3084615384615,13,258
2,85.7157142857143,7,492
3,100,15,598
4,100,20,661
5,92.8571428571429,14,903
6,90.9072727272727,11,1040
7,95,20,1875
8,100,14,1948
9,94.7357894736842,19,2632
10,100,24,2991
11,100,21,3256
12,100,27,4360
13,93.3333333333333,30,4599
14,95.0005,20,4710
15,100,17,6260
16,0,25,7198
17,94.7357894736842,19,8012
18,84.9975,20,8269
19,100,16,8859
20,100,20,10058
21,87.500625,16,10628
22,91.3065217391304,23,11554
23,95,20,12711
24,100,15,12720
25,100,24,12818
26,86.9591304347826,23,13642
27,100,32,14301
28,91.1738235294118,34,14623
29,96.668,30,17138
30,100,26,17310
31,100,25,18384
32,90.001,30,19003
33,96.551724137931,29,19309
34,100,19,22712
35,100,9,22991
36,100,23,23339
37,94.7389473684211,19,25798
38,57.8915789473684,38,26010
39,91.1794117647059,34,27035
40,95.8320833333333,24,28724
41,90.9122727272727,22,29268
42,95.002,20,29465
43,81.4844444444444,27,30207
44,100,37,31753
45,89.2867857142857,28,31938
46,93.3356666666667,30,33795
47,95.835,24,34588
48,95,20,34701
49,100,13,35211
50,100,23,35306
51,90.9072727272727,11,35949
52,95.8345833333333,24,36221
53,83.335,6,38083
54,100,13,38089
55,77.7766666666667,9,39889
56,92.3084615384615,13,39980
57,58.335,12,40278
58,100,12,40435
59,26.6686666666667,15,40637
60,42.8585714285714,7,40764
61,45.4509090909091,11,41015
62,81.8163636363636,11,41205
63,66.6666666666667,12,41348
64,96.0012,25,42533
65,93.3333333333333,15,43152
66,90.001,20,43258
67,96.5531034482759,29,44324
68,100,24,44357
69,100,22,44684
70,90.9090909090909,11,44873
71,100,34,45201
72,100,18,45446
73,100,21,46200
74,95.2380952380952,21,47217
75,100,27,47514
76,38.4615384615385,26,48490
77,80.0005,20,48749
78,91.3065217391304,23,49412
79,77.7777777777778,18,49555
80,86.6666666666667,15,49609
81,87.49875,16,49691
82,100,8,50405
83,91.6641666666666,12,50754
84,69.2307692307692,13,51163
85,87.5025,16,52079
86,100,13,52858
87,93.748125,16,53173
88,92.855,14,53184
89,70,10,53301
90,92.59,27,54795
91,93.5467741935484,31,54840
92,86.6666666666667,15,55391
93,95.455,22,55684
94,97.06,34,56408
95,91.304347826087,23,56578
96,93.75,16,56663
97,92.3084615384615,26,57478
98,97.2222222222222,36,57672
99,95.6526086956522,23,57750
100,80.9552380952381,21,58057
101,92.592962962963,27,58095
102,95.2380952380952,21,59322
103,96.0016,25,59335
104,83.335,30,59477
105,100,32,59708
106,100,23,60044
107,95.455,22,60274
108,92.8557142857143,28,61379
109,100,10,62702
110,61.9033333333333,21,62906
111,100,12,64998
112,86.6666666666667,15,65583
113,76.9253846153846,13,66076
114,100,13,66388
115,78.9489473684211,19,66505
116,75,12,66900
117,70,20,67464
118,70.5894117647059,17,68426
119,78.5742857142857,14,68864
120,85.1855555555556,27,72045
121,92.0016,25,72206
122,87.5,16,72288
123,95.0005,20,72414
124,93.3313333333333,15,72637
125,68.7525,16,72711
126,77.7777777777778,9,72720
127,92.3053846153846,13,72965
128,59.9985,20,73017
129,86.3636363636364,22,73106
130,100,12,73155
131,94.4444444444444,18,73176
132,94.1182352941177,17,73202
133,87.5016666666667,24,73657
134,93.748125,16,74627
135,69.9975,20,75771
136,76.1928571428571,21,75788
137,81.250625,16,76212
138,85.1862962962963,27,76390
139,85.7182142857143,28,77460
140,72.225,18,78246
141,90.91,22,80836
142,88.2364705882353,17,82644
143,96.6676666666667,30,83778
144,90.4761904761905,21,89702
145,100,26,90319
146,92.3084615384615,13,90706
147,87.5040625,32,91104
148,100,28,92380
149,81.4825925925926,27,92522
150,87.4979166666667,24,92943
151,79.9984,25,93325
152,77.2736363636364,22,93708
153,65.002,20,95423
154,76.9257692307692,26,97219
155,96.665,30,98092
156,96.871875,32,98316
157,91.66875,24,98895
158,84.6157692307692,26,98991
159,83.335,18,100153
160,86.9552173913043,23,101196
161,91.8902702702703,37,101442
162,90.475,42,101621
163,93.7478125,32,101645
164,84.375,32,101987
165,90.3193548387097,31,102577
166,84.6115384615384,26,103183
167,81.25,16,104863
168,100,23,106974
169,55.5566666666667,18,109167
170,73.3333333333333,15,109331
171,83.335,18,109647
172,95.6526086956522,23,110693
173,94.7389473684211,19,110719
174,86.9578260869565,23,111081
175,88.4584615384615,26,111953
176,94.445,18,112496
177,100,20,113156
178,63.1594736842105,19,113311
179,78.2630434782609,23,114932
180,90,10,115547
181,77.7777777777778,9,116292
182,100,12,118075
183,100,18,119122
184,100,19,119641
185,80,15,119739
186,94.7373684210526,19,120198
187,33.3358333333333,12,120814
188,72.2216666666667,18,124149
189,80,10,124313
190,81.8190909090909,22,125129
191,91.665,24,125441
192,91.3047826086957,23,125819
193,81.251875,16,126195
194,45.4527272727273,11,126526
195,100,19,127820
196,100,14,129611
197,72.73,11,129794
198,100,10,135326
199,42.8571428571429,7,135723
200,72.7272727272727,11,135934
201,100,9,136463
202,93.3333333333333,15,136585
203,100,7,137278
204,100,14,137319
205,100,11,138058
206,100,14,138378
207,82.3529411764706,17,138501
208,93.748125,16,139131
209,100,6,140146
210,66.6666666666667,3,140789
211,86.6673333333333,15,140831
212,57.1414285714286,7,141326
213,87.4975,8,142157
214,24.9975,16,144013
215,87.50125,8,144251
216,86.668,15,144340
217,72.7254545454546,11,145529
218,100,18,145620
219,100,11,146290
220,94.445,18,149475
221,63.1605263157895,19,151848
222,100,16,152488
223,100,22,153396
224,100,13,153422
225,83.3308333333333,12,154750
226,86.6673333333333,15,154957
227,90.9063636363636,22,156516
228,38.8888888888889,18,157138
229,77.7788888888889,9,158654
230,33.3333333333333,3,158974
231,66.67,3,162564
232,63.6345454545455,11,163496
233,87.50125,8,163589
234,54.5472727272727,11,165818
235,66.6644444444444,9,166110
236,90,10,166259
237,100,7,166552
238,100,12,166609
239,87.4975,8,166754
240,49.9975,4,167379
241,75.0008333333333,12,168386
242,87.4975,16,169135
243,74.9983333333333,12,169324
244,70.002,10,170247
245,80,5,173054
246,57.1442857142857,7,174905
247,33.3333333333333,3,174950
248,80.002,10,175748
249,70,10,175814
250,88.8855555555555,9,176793
251,72.2222222222222,18,177967
252,83.3333333333333,18,178971
253,91.3052173913044,23,179369
254,88.8866666666667,9,181208
255,92.8557142857143,14,181590
256,90.9072727272727,11,181973
257,100,7,185730
258,71.4285714285714,7,185790
259,62.5,8,185823
261,0,2,186255
262,25,4,186498
263,100,1,186940
264,100,1,186957
265,0,4,187050
266,69.998,10,187617
267,100,5,187636
268,50,6,188219
269,100,20,189410
270,57.8968421052632,19,189972
271,100,20,190618
272,92.8571428571429,14,191051
273,92.3076923076923,13,191179
274,95.2395238095238,21,191243
275,100,19,191895
276,87.5,24,192500
277,95.0005,20,192835
278,78.57,14,193201
279,100,31,193536
280,94.4444444444444,18,193809
281,100,16,193842
282,100,27,193888
283,95.24,21,194191
284,95.0005,20,194537
285,100,10,195651
286,90.9090909090909,11,195793
287,100,9,196021
288,75.00125,16,196399
289,95,20,197128
290,71.4314285714286,21,197374
291,95,20,197719
292,76.9223076923077,13,197767
293,92.3053846153846,13,197843
294,83.3366666666667,18,198067
295,78.5735714285714,14,198742
296,100,14,198862
297,88.8888888888889,9,199434
298,100,17,200969
299,83.335,12,202036
300,92.3084615384615,26,202834
301,100,17,203483
302,90.9090909090909,22,203837
303,82.3541176470588,17,204835
304,94.7357894736842,19,205243
305,100,22,206942
306,100,23,207141
307,95.24,21,207652
308,88.2376470588235,17,209961
309,93.1013793103448,29,210155
310,90.3232258064516,31,211192
311,100,23,211474
312,100,20,211916
313,94.4444444444444,18,211965
314,100,30,212362
315,100,35,213068
316,97.1428571428571,35,213884
317,95.998,25,214908
318,100,34,214915
319,96.7761290322581,31,215087
320,94.7352631578947,19,215537
321,96.5531034482759,29,216150
322,91.998,25,216412
323,93.9372727272727,33,216657
324,93.9409090909091,33,218491
325,100,14,221253
326,100,17,221429
327,63.6381818181818,11,221725
328,100,13,221953
329,85.7157142857143,21,222649
330,95.65,23,223017
331,95.2385714285714,21,223156
332,95.455,22,223884
333,100,25,223941
334,84.6123076923077,26,224161
335,95.2385714285714,21,224807
336,100,23,225593
337,92.002,25,226335
338,91.6666666666667,24,228449
339,85.7128571428571,14,228458
340,100,27,228556
341,96.551724137931,29,229786
342,94.4444444444444,18,230443
