"MotifID","Position","Frm","FrmP","FrmN","Total_Coverage","CoverageP","CoverageN"
1,43,73.663024691358,82.0433450704225,61.8807920792079,486,284,202
2,71,74.7022673031026,76.6168656716418,72.9369724770642,419,201,218
3,238,76.3567248062016,82.8472627737226,69.0079338842975,516,274,242
4,311,75.7385601577909,82.605652173913,67.5337229437229,507,276,231
5,1226,82.6090956521739,84.2111578947368,81.0346551724138,575,285,290
6,3129,69.3913224368499,74.7810850439883,63.8554518072289,673,341,332
7,3966,56.7724014778325,59.3579802955665,54.1868226600985,812,406,406
8,4848,76.5703428571428,80.690198019802,70.9472972972973,700,404,296
9,5241,48.187288590604,50.4152892561983,46.0701047120419,745,363,382
10,5322,52.8235774309724,36.263956043956,65.6758208955224,833,364,469
11,5407,63.5743798882682,63.5491121495327,63.5975374732334,895,428,467
12,5852,68.1910266159696,65.245811965812,70.5512328767123,789,351,438
13,7194,79.7530542986425,80.4,79.325,884,352,532
14,7245,75.7626580796253,76.7977900552486,75.0010365853659,854,362,492
15,7475,73.0055956284153,70.4992167101828,74.81,915,383,532
16,7904,57.3241401273885,40.8438028169014,70.93,628,284,344
17,7911,47.4739116719243,25.7229903536977,68.4167492260062,634,311,323
18,10064,79.7511746522411,71.2043190661479,85.3833333333333,647,257,390
19,11437,77.981620795107,77.1679704016913,78.7392125984252,981,473,508
20,12908,74.865579631636,67.3156658595642,80.9795294117647,923,413,510
21,14284,76.3620041109969,74.0081938325991,78.421021194605,973,454,519
22,16578,84.3794412770809,82.9599749373434,85.564309623431,877,399,478
23,18392,71.85425,73.2128834355828,70.7301015228426,1080,489,591
24,19046,69.7260321100917,57.146038961039,76.5959574468085,872,308,564
25,20674,73.0678181818182,70.0790026246719,75.3498597194389,880,381,499
26,20704,79.3676790830946,77.2987580299786,81.0335172413793,1047,467,580
27,21529,75.3741241241241,77.1035897435897,73.2896026490066,999,546,453
28,21556,73.7157585470086,76.666,71.3143992248062,936,420,516
29,22402,81.2399047619048,71.9809157509158,91.2704761904762,1050,546,504
30,24095,62.4379784688995,67.2498635477583,54.795572755418,836,513,323
31,26062,73.9056340956341,82.0282029598309,66.0488343558282,962,473,489
32,26741,73.8223497854077,80.0411434108527,66.1086538461538,932,516,416
33,26896,84.1910215053763,84.1531893004115,84.2324324324324,930,486,444
34,27796,60.4130750605327,64.0615433403806,55.5243342776204,826,473,353
35,30082,76.5614962593516,77.4451162790698,75.5401075268817,802,430,372
36,30171,68.4563422818792,74.4630799220273,60.368530183727,894,513,381
37,32229,81.5761538461539,80.826688453159,82.2264461247637,988,459,529
38,32904,66.382134088763,69.7852772466539,63.0615298507463,1059,523,536
39,33599,82.4252121212121,79.2879287305122,86.1715957446808,825,449,376
40,33824,76.3946010928962,70.6167324561404,82.1347058823529,915,456,459
41,34446,76.5053989071038,84.8363956043956,68.2649565217391,915,455,460
42,34738,73.8821411764706,74.6173960612691,73.0271501272265,850,457,393
43,34768,81.8604479283315,87.0601252609603,75.8443961352657,893,479,414
44,35584,65.6342318059299,70.0477358490566,59.7495597484277,742,424,318
45,36834,72.3107045009785,70.6228436911488,74.1360692464358,1022,531,491
46,37392,64.6375129533679,73.2644,50.840303030303,772,475,297
47,37465,69.7183266932271,71.505,67.6053913043478,1004,544,460
48,37990,72.3838686131387,66.8969655172414,78.5513178294574,822,435,387
49,39065,67.6348132780083,67.2319491525424,68.0213008130081,723,354,369
50,40070,77.0453485576923,64.7757386363636,86.0430625,832,352,480
