"MotifID","Position","Frm","FrmP","FrmN","Total_Coverage","CoverageP","CoverageN"
1,620,96,100,93.75,25,9,16
2,727,100,100,100,14,8,6
3,782,93.75,100,90,32,12,20
4,881,100,100,100,20,7,13
5,1168,97.0605882352941,100,94.74,34,15,19
6,1570,94.445,100,90.91,36,14,22
7,1635,91.8918918918919,100,87.5,37,13,24
8,1724,92.3107692307692,100,89.29,39,11,28
9,2021,97.1414285714286,100,95.65,35,12,23
10,2354,95.2390476190476,94.12,96,42,17,25
11,2516,97.6166666666667,100,96.15,42,16,26
12,2633,96.0016,100,94.12,50,16,34
13,2762,97.8695744680851,100,96.77,47,16,31
14,3074,94.3398113207547,90,96.97,53,20,33
15,3263,93.0237209302326,88.89,96,43,18,25
16,3756,97.9591836734694,95,100,49,20,29
17,3905,97.9179166666667,94.74,100,48,19,29
18,4821,97.3,100,96.3,37,10,27
19,4917,94.7357894736842,83.33,100,38,12,26
20,5346,95.1182926829268,93.33,96.15,41,15,26
21,5490,95.1209756097561,94.74,95.45,41,19,22
22,5852,100,100,100,27,14,13
23,6034,90.9081818181818,89.47,92.86,33,19,14
24,6062,93.1031034482759,92.86,93.33,29,14,15
25,6356,100,100,100,41,21,20
26,6515,94.7389473684211,100,88.24,38,21,17
27,6598,97.2233333333333,100,94.12,36,19,17
28,6788,97.7755555555555,95.45,100,45,22,23
29,6803,95.3476744186047,95.65,95,43,23,20
30,7917,96.43,91.67,100,28,12,16
31,8431,97.0573529411765,93.33,100,34,15,19
32,8445,93.55,86.67,100,31,15,16
33,8583,96.4285714285714,93.75,100,28,16,12
34,8617,86.8405263157895,77.27,100,38,22,16
35,8628,91.9976,85.71,100,25,14,11
36,8760,100,100,100,38,22,16
37,8836,94.12,88.24,100,34,17,17
38,9100,92.8571428571429,87.5,100,28,16,12
39,9174,93.9393939393939,90,100,33,20,13
40,9181,88.8866666666667,83.33,100,36,24,12
41,9343,90.3196774193548,85.71,100,31,21,10
42,9462,96.8725,94.44,100,32,18,14
43,9621,97.3657894736842,95.45,100,38,22,16
44,9648,88.5711428571428,84.21,93.75,35,19,16
45,9690,94.5967567567568,90.48,100,37,21,16
46,9916,81.8206060606061,75,88.24,33,16,17
47,10019,96.668,94.12,100,30,17,13
48,10076,94.1176470588235,90,100,34,20,14
49,10601,86.2068965517241,75,100,29,16,13
50,11327,96.0016,94.12,100,25,17,8
51,11494,87.4983333333333,76.92,100,24,13,11
52,11664,93.1062068965517,90.48,100,29,21,8
53,12260,96.4267857142857,93.33,100,28,15,13
54,12871,95.7431914893617,92.59,100,47,27,20
55,12902,95.4522727272727,91.3,100,44,23,21
56,12926,100,100,100,42,24,18
57,13094,95.3506976744186,91.67,100,43,24,19
58,13396,97.8260869565217,96,100,46,25,21
59,13576,95.3483720930232,95.83,94.74,43,24,19
60,13657,100,100,100,52,27,25
61,14315,93.7483333333333,90.91,96.15,48,22,26
62,14367,100,100,100,52,25,27
63,14573,98.1462962962963,100,96.15,54,28,26
64,14744,96.7745161290323,90.91,100,31,11,20
65,14751,98.0382352941176,96.55,100,51,29,22
66,14895,100,100,100,52,30,22
67,14972,96.001,93.55,100,50,31,19
68,15382,93.336,96.3,88.89,45,27,18
69,15851,97.6204761904762,94.74,100,42,19,23
70,16539,90.321935483871,85.71,94.12,31,14,17
71,16731,96.665,100,93.33,30,15,15
72,16869,92.8571428571429,80,100,28,10,18
73,17461,85.002,71.43,92.31,20,7,13
74,17746,100,100,100,26,12,14
75,17844,90.91,81.82,100,22,11,11
76,17870,100,100,100,22,6,16
77,17948,96.5527586206896,92.31,100,29,13,16
78,17979,92.592962962963,90.91,93.75,27,11,16
79,18362,100,100,100,25,14,11
80,18485,96.5527586206896,92.31,100,29,13,16
81,18549,96.551724137931,90,100,29,10,19
82,19156,97.4333333333333,95.45,100,39,22,17
83,20831,92.8589285714286,94.12,90.91,28,17,11
84,20879,94.5967567567568,92.86,100,37,28,9
85,20909,95.1231707317073,93.55,100,41,31,10
86,21735,98.3325,100,96.55,60,31,29
87,22449,100,100,100,52,21,31
88,22497,98.4828787878788,96.77,100,66,31,35
89,22694,98.5492753623188,100,97.14,69,34,35
90,23043,100,100,100,59,24,35
91,23186,96.0012,100,92.31,50,24,26
92,23217,100,100,100,53,22,31
93,23352,100,100,100,66,37,29
94,23423,100,100,100,61,36,25
95,23627,100,100,100,58,30,28
96,23667,100,100,100,52,25,27
97,23702,98.4142857142857,100,96.3,63,36,27
98,23720,96.1542307692308,90.91,100,52,22,30
99,23919,100,100,100,64,31,33
100,23936,100,100,100,66,34,32
101,23955,100,100,100,65,33,32
102,24004,100,100,100,54,31,23
103,24116,98.44,96.88,100,64,32,32
104,24320,100,100,100,70,34,36
105,24399,98.3598360655738,96.55,100,61,29,32
106,24444,96.6089830508475,92.59,100,59,27,32
107,25219,94.9152542372881,88,100,59,25,34
108,25274,100,100,100,49,16,33
109,25294,95.8322916666667,96,95.65,48,25,23
110,25450,100,100,100,49,19,30
111,25579,98.0372549019608,95.45,100,51,22,29
112,26162,100,100,100,42,16,26
113,26256,97.7766666666667,100,96.55,45,16,29
114,26283,100,100,100,44,17,27
115,26478,100,100,100,35,15,20
116,26808,100,100,100,42,26,16
117,27734,100,100,100,37,17,20
118,27798,97.2983783783784,100,95.24,37,16,21
119,27993,100,100,100,34,14,20
120,28149,100,100,100,31,11,20
121,28496,100,100,100,23,10,13
122,28674,100,100,100,19,8,11
123,28905,100,100,100,13,5,8
124,28927,100,100,100,20,8,12
125,29070,100,100,100,20,9,11
126,29120,100,100,100,20,8,12
127,29179,90.001,77.78,100,20,9,11
