"MotifID","Position","Frm","FrmP","FrmN","Total_Coverage","CoverageP","CoverageN"
1,43,75.3846153846154,82.67,65.45,130,75,55
2,71,84.0732743362832,79.63,88.14,113,54,59
3,238,80.2832394366197,80.77,79.69,142,78,64
4,311,77.61,78.87,76.19,134,71,63
5,1226,85.37,86.59,84.15,164,82,82
6,3129,69.1110994764398,73.74,64.13,191,99,92
7,3966,62.1480373831776,56.36,68.27,214,110,104
8,4848,76.3728571428571,78.63,72.31,182,117,65
9,5241,47.62,43.81,51.43,210,105,105
10,5322,50.2144206008584,28.18,69.92,233,110,123
11,5407,64.1350632911392,61.4,66.67,237,114,123
12,5852,72.0198165137615,68.69,74.79,218,99,119
13,7194,81.8907407407407,74.51,87.23,243,102,141
14,7245,75.4552727272727,73.27,77.31,220,101,119
15,7475,76.9246963562753,68.87,82.98,247,106,141
16,7904,62.573216374269,42.5,80.22,171,80,91
17,7911,49.385,28.4,70.37,162,81,81
18,10064,74.5664161849711,59.72,85.15,173,72,101
19,11437,77.0146774193548,75.59,78.51,248,127,121
20,12908,70.9962770562771,61.54,78.74,231,104,127
21,14284,71.8126640926641,68.42,74.48,259,114,145
22,16578,82.8195154185022,82.57,83.05,227,109,118
23,18392,74.5042231075697,74.8,74.22,251,123,128
24,19046,66.5037931034483,50,75.19,203,70,133
25,20674,72.2456828193833,68.37,75.19,227,98,129
26,20704,76.4704705882353,76.07,76.81,255,117,138
27,21529,69.8035294117647,75.78,63.78,255,128,127
28,21556,67.3950434782609,73.74,62.6,230,99,131
29,22402,78.1888888888889,71.93,83.72,243,114,129
30,24095,56.2228571428571,63.71,46.24,217,124,93
31,26062,72.14899543379,77.23,67.8,219,101,118
32,26741,71.9491869918699,84,59.5,246,125,121
33,26896,83.5301960784314,85.6,81.54,255,125,130
34,27796,55.121756097561,55.96,54.17,205,109,96
35,30082,71.9152765957447,75.86,68.07,235,116,119
36,30171,72.2717226890756,85.19,55.34,238,135,103
37,32229,79.2091756272401,81.34,77.24,279,134,145
38,32904,71.8988321167883,75,69.18,274,128,146
39,33599,78.9716738197425,79.51,78.38,233,122,111
40,33824,73.8612863070539,67.5,80.17,241,120,121
41,34446,77.0581818181818,83.76,70.18,231,117,114
42,34738,78.9255605381166,78.95,78.9,223,114,109
43,34768,80.0844398340249,85.95,74.17,241,121,120
44,35584,59.7978391959799,67.59,50.55,199,108,91
45,36834,73.2835018050541,72.93,73.61,277,133,144
46,37392,60.3889855072464,72.36,42.86,207,123,84
47,37465,71.115,75.56,66.67,270,135,135
48,37990,68.2400429184549,64.41,72.17,233,118,115
49,39065,63.8903333333333,66.67,61.29,180,87,93
50,40070,69.0364016736402,58.62,78.86,239,116,123
51,42340,66.3870588235294,70.34,62.5,238,118,120
52,44444,63.9334972677596,73,53.01,183,100,83
53,45003,78.8486538461539,69.83,90.22,208,116,92
54,45762,27.6068229166667,39.18,15.79,192,97,95
55,46357,73.0731730769231,67.07,76.98,208,82,126
56,46669,63.4046808510638,69.42,57.02,235,121,114
57,48309,75.225,70.27,80.18,222,111,111
58,48995,71.2927272727273,63.16,78.07,209,95,114
59,49018,66.1293548387097,70.91,59.21,186,110,76
60,49098,66.8009128630705,61.76,70.5,241,102,139
61,52192,54.3607053941909,52.73,55.73,241,110,131
62,52303,50.2465671641791,60.87,41.28,201,92,109
63,52591,63.8749779735683,75.26,55.38,227,97,130
64,52664,60.3843961352657,61.7,59.29,207,94,113
65,53847,61.3224528301887,52.63,66.18,212,76,136
66,53986,59.6437219730942,68,52.85,223,100,123
67,55873,70.6133333333333,72,69.53,228,100,128
68,58598,67.6848908296943,62.26,72.36,229,106,123
69,58626,68.9385106382979,62.5,74.05,235,104,131
70,63477,51.9574860335196,41.25,60.61,179,80,99
71,65879,75.4944268774704,76.12,74.79,253,134,119
72,67774,76.0717948717949,66.67,86.49,234,123,111
73,67898,72.222380952381,75.78,68.55,252,128,124
74,68025,47.6592056074766,17.2,71.07,214,93,121
75,71356,69.7217889908257,60.49,75.18,218,81,137
76,71709,79.7867021276596,77.65,81.55,188,85,103
77,73605,81.7145142857143,87.5,73.24,175,104,71
78,73988,79.3077586206897,87.7,70,232,122,110
79,74000,77.62,80.95,74.29,210,105,105
80,74434,84.6172307692308,84.68,84.56,260,124,136
81,75933,83.1394636015326,88.98,78.32,261,118,143
82,76207,66.2994444444444,58.87,74.42,270,141,129
83,76316,67.2778308823529,64.96,69.63,272,137,135
84,77539,79.1471063829787,80.17,78.15,235,116,119
85,78651,57.6917094017094,49.11,65.57,234,112,122
86,81886,70.2854716981132,56.79,78.63,212,81,131
87,84927,64.8627027027027,62.83,66.97,222,113,109
88,85021,55.3234468085106,55.05,55.56,235,109,126
89,85101,71.585737704918,64.65,79.76,183,99,84
90,85149,54.2098421052631,45.3,68.49,190,117,73
91,85648,70.2549230769231,69.57,70.63,195,69,126
92,86016,71.3717842323651,77.1,64.55,241,131,110
93,87120,72.7988,75.41,70.31,250,122,128
94,87507,79.144644549763,83.76,73.4,211,117,94
95,88350,82.1062105263158,83.7,80.61,190,92,98
96,88919,64.5754708520179,67.83,61.11,223,115,108
97,89045,57.0162280701754,73.27,44.09,228,101,127
98,90836,72.8655778894472,69.31,76.53,199,101,98
99,91434,57.0779452054795,49.57,65.38,219,115,104
100,94707,75.6019138755981,76.42,74.76,209,106,103
101,95284,66.6623383084577,70.87,62.24,201,103,98
102,95558,61.7153714285714,76.11,35.48,175,113,62
103,95731,64.4867289719626,73.15,55.66,214,108,106
104,95849,72.61,73.73,71.43,230,118,112
105,97868,68.2770967741936,73.33,59.09,186,120,66
106,98756,67.5094092827004,67.69,67.29,237,130,107
107,99093,78.7339819004525,80.49,76.53,221,123,98
108,101160,75.445,76.12,74.44,224,134,90
109,102700,68.4199190283401,72.06,63.96,247,136,111
110,104202,79.7959595959596,78.99,81.01,198,119,79
111,104209,73.8316822429907,66.39,83.7,214,122,92
112,104993,65.9387336244541,59.68,73.33,229,124,105
113,105300,60.7751724137931,61.97,58.89,232,142,90
114,105372,84.0386854460094,83.2,85.23,213,125,88
115,105951,73.1126470588235,74.5,70.79,238,149,89
116,106239,58.3740271493213,64.56,42.86,221,158,63
117,113029,74.1112182741117,70.83,77.23,197,96,101
118,115678,73.8537614678899,80.34,66.34,218,117,101
119,115994,74.7595631067961,72.57,77.42,206,113,93
120,117159,74.999649122807,78.51,71.03,228,121,107
121,117788,69.075,73.2,64.95,194,97,97
122,118460,68.0385844748859,80.17,53.06,219,121,98
123,119642,70.6886637931034,73.68,66.67,232,133,99
124,122554,76.9992,78.57,75.49,200,98,102
125,123645,70.5894117647059,80,63.16,204,90,114
126,128003,67.2988151658768,71.03,63.46,211,107,104
127,128398,76.1944588744589,76.64,75.81,231,107,124
128,129035,68.983422459893,78.7,55.7,187,108,79
129,129898,57.7693203883495,50,64.29,206,94,112
130,130128,71.9646861924686,73.64,70,239,129,110
131,130269,75.942358490566,83.05,67.02,212,118,94
132,130331,66.4030078125,71.07,62.22,256,121,135
133,130610,67.0631349206349,66.09,67.88,252,115,137
134,131450,75.8205327868852,80.8,70.59,244,125,119
135,131469,71.8844578313253,73.55,70.31,249,121,128
136,131731,72.6574157303371,76.61,69.23,267,124,143
137,131739,67.8192079207921,75.96,59.18,202,104,98
138,135295,69.7489495798319,69.16,70.23,238,107,131
139,135433,69.3412891986063,59.17,76.65,287,120,167
140,136821,67.9043209876543,71.43,64.89,243,112,131
141,141622,75.4933992094862,77.61,73.11,253,134,119
142,145337,71.4269387755102,73.04,70,245,115,130
143,147992,80.6287387387387,79.09,82.14,222,110,112
144,148135,69.1632158590308,64.71,74.07,227,119,108
145,148744,58.9639043824701,54.74,64.04,251,137,114
146,149070,72.031724137931,70.14,74.36,261,144,117
147,149103,65.7798479087452,65.49,66.12,263,142,121
148,149653,65.5968,57.14,74.19,250,126,124
149,150066,68.1203056768559,57.27,78.15,229,110,119
150,150153,72.4999166666667,66.1,78.69,240,118,122
151,151057,62.7491176470588,69.11,53.09,204,123,81
152,152742,70.1652941176471,65.71,76.53,238,140,98
153,153649,63.3179912663755,66.94,59.26,229,121,108
154,153784,76.4208296943232,72.65,80.36,229,117,112
155,154350,72.1169230769231,78.95,63.83,208,114,94
156,155540,71.7630092592593,74.26,69.57,216,101,115
157,155779,67.3919565217391,69.91,64.96,230,113,117
158,155806,69.1261739130435,73.21,65.25,230,112,118
159,156912,66.29,73.81,59.57,178,84,94
160,157343,72.5365803108808,75.42,68,193,118,75
161,157780,70.5868449197861,72.64,67.9,187,106,81
162,157830,77.8307547169811,84.21,70.41,212,114,98
163,160303,72.8071129707113,67.35,76.6,239,98,141
164,160331,65.0743540669856,64,66.06,209,100,109
165,160425,53.362735426009,61.82,45.13,223,110,113
166,160716,78.0267264573991,82.52,74.17,223,103,120
167,161411,73.3983027522936,70.48,76.11,218,105,113
168,162665,43.9043902439024,70.48,16,205,105,100
169,163280,59.2589814814815,60,58.49,216,110,106
170,163371,74.2460606060606,74.77,73.63,198,107,91
171,164053,75.9846288209607,72.9,78.69,229,107,122
172,164979,67.8742533936652,66.09,69.81,221,115,106
173,165412,32.2577016129032,37.39,27.82,248,115,133
174,166576,65.281243523316,62.96,66.96,193,81,112
175,166587,73.2677227722772,65.66,80.58,202,99,103
176,166702,70.3507035175879,66.67,73.58,199,93,106
177,166866,75.3303083700441,77.42,73.88,227,93,134
178,167319,79.822735426009,80.19,79.49,223,106,117
179,168156,77.5216055045872,74.74,79.67,218,95,123
180,168726,74.1113705583756,76.84,71.57,197,95,102
181,169421,53.5132972972973,44.44,60.58,185,81,104
182,169856,72.2776732673267,65.52,77.39,202,87,115
183,170460,68.0559259259259,64.08,71.68,216,103,113
184,170690,63.6327272727273,62.22,64.81,198,90,108
185,171383,59.6273291925466,72.22,49.44,161,72,89
186,172844,46.2713432835821,60.22,34.26,201,93,108
187,173223,61.0786486486486,52.27,69.07,185,88,97
188,173403,57.3668421052632,53.33,61,190,90,100
189,173687,72.9042857142857,70.11,75,203,87,116
190,173856,69.8486934673367,65.62,73.79,199,96,103
191,174218,65.176368159204,57.32,70.59,201,82,119
192,174269,56.58,52.63,60.53,152,76,76
193,174465,59.1159113300493,47.83,68.47,203,92,111
194,175137,33.7049438202247,25.58,41.3,178,86,92
195,175560,67.6623353293413,70.87,62.5,167,103,64
196,177303,65.3189017341041,64.29,66.29,173,84,89
197,177577,59.741038961039,58.33,60.98,154,72,82
198,177981,60.9025563909774,69.88,46,133,83,50
199,178440,74.3228378378378,78.87,70.13,148,71,77
200,178800,58.1537588652482,60.81,55.22,141,74,67
201,180398,65.2483687943262,65.82,64.52,141,79,62
202,180973,10.8994871794872,10.59,11.27,156,85,71
203,181127,4.5158064516129,2.53,6.58,155,79,76
204,181197,6.0772972972973,5.26,6.94,148,76,72
205,181215,10.8113513513514,18.42,2.78,148,76,72
206,181231,8.90315068493151,9.21,8.57,146,76,70
207,183156,67.9765359477124,66.27,70,153,83,70
208,183844,64.7655958549223,63.33,66.02,193,90,103
209,183949,64.1645086705202,68.75,60.22,173,80,93
210,185417,66.3596313364055,74.07,58.72,217,108,109
211,187002,69.2333846153846,75.73,61.96,195,103,92
212,187059,77.3637037037037,76.15,78.76,243,130,113
213,187806,67.0025,75.68,56.18,200,111,89
214,189314,64.1283152173913,69.89,58.24,184,93,91
215,190221,57.3417535545024,63.41,48.86,211,123,88
216,190401,68.699756097561,65.15,72.81,246,132,114
217,191667,71.227358490566,72.39,69.23,212,134,78
218,192544,76.149633027523,69.61,81.9,218,102,116
219,192602,80.0021860465116,81.93,78.79,215,83,132
220,194752,57.0607608695652,45.54,71.08,184,101,83
221,195294,55.3484651162791,31.48,79.44,215,108,107
222,195949,80.8914222222222,73.23,90.82,225,127,98
223,197112,72.8580952380952,72.88,72.83,210,118,92
224,197131,79.0448571428571,78.7,79.41,210,108,102
225,197833,78.3393548387097,72.32,84.76,217,112,105
226,198577,48.8897777777778,13.68,74.62,225,95,130
227,199624,71.4283333333333,70.15,72.88,252,134,118
228,199945,71.3013043478261,59.48,83.33,230,116,114
229,200141,71.9804347826087,67.89,76.53,207,109,98
230,200729,65.1735820895522,39.33,85.71,201,89,112
231,201706,76.1222972972973,74.8,77.89,222,127,95
232,202070,70.8997354497354,67.29,75.61,189,107,82
233,203410,76.6568871595331,74.58,78.42,257,118,139
234,203618,70.0018846153846,61.24,78.63,260,129,131
235,204690,60.9611764705882,57.69,65.06,187,104,83
236,207465,74.1222807017544,65.09,81.97,228,106,122
237,208033,59.2965829145729,37.68,70.77,199,69,130
238,211477,60.8453439153439,57.01,65.85,189,107,82
239,212286,71.5768421052632,69,74.44,190,100,90
240,213465,64.8399086757991,59.22,69.83,219,103,116
241,213937,62.2744090909091,67.89,56.76,220,109,111
242,214068,73.6632098765432,77.12,70.4,243,118,125
243,214376,65.4170833333333,61.74,68.8,240,115,125
244,215099,64.0458426966292,69.23,56.76,178,104,74
245,215890,72.0018666666667,72.36,71.57,225,123,102
246,215919,74.5303370786517,75.86,72.95,267,145,122
247,217011,71.1550769230769,74.42,67.94,260,129,131
248,217161,77.491341991342,76,79.25,231,125,106
249,218632,60.1988059701493,60,60.36,201,90,111
250,221122,60.4627441860465,63.11,56.99,215,122,93
251,221873,67.3177821011673,67.63,66.95,257,139,118
252,223134,58.905799086758,70.87,42.39,219,127,92
253,225340,66.5251072961373,66.93,66.04,233,127,106
254,225347,66.6635,68.18,64.81,240,132,108
255,225434,76.7908438818565,78.12,75.23,237,128,109
256,225518,70.4267704280156,68.46,72.44,257,130,127
257,226645,60.4633023255814,51.35,70.19,215,111,104
258,228557,76.6819730941704,80.56,73.04,223,108,115
259,230929,59.728778280543,59.46,60,221,111,110
260,231079,65.3160810810811,68.99,60.22,222,129,93
261,231649,78.0208620689655,82.86,74.02,232,105,127
262,232407,67.6848780487805,66.13,68.63,164,62,102
263,232493,59.164554973822,54.93,61.67,191,71,120
264,233116,65.5299574468085,69.9,62.12,235,103,132
265,233694,61.3984186046512,66.67,56.64,215,102,113
266,233879,55.5025688073395,53.26,57.14,218,92,126
267,234080,62.8729113924051,57.58,66.67,237,99,138
