"MotifID","Position","Frm","FrmP","FrmN","Total_Coverage","CoverageP","CoverageN"
1,258,76.9215384615385,85.7114285714286,66.6666666666667,13,7,6
2,492,69.999,80,59.998,10,5,5
3,598,91.6666666666667,100,83.3333333333333,12,6,6
4,661,84.6169230769231,100,75.0025,13,5,8
5,903,81.8181818181818,83.3333333333333,80,11,6,5
6,1040,100,100,100,13,6,7
7,1875,90,83.3333333333333,100,10,6,4
8,1948,90,100,80,10,5,5
9,2632,76.9215384615385,83.33,71.4285714285714,13,6,7
10,2991,91.6666666666667,100,85.7142857142857,12,5,7
11,3256,100,100,100,10,6,4
12,4360,91.6675,83.335,100,12,6,6
13,4599,76.9238461538462,83.3333333333333,71.43,13,6,7
14,4710,77.7777777777778,75,80,9,4,5
15,6260,80.002,100,75.0025,10,2,8
16,7198,7.14285714285714,0,14.2857142857143,14,7,7
17,8012,90.001,100,80.002,10,5,5
18,8269,78.9463157894737,90,66.6644444444444,19,10,9
19,8859,90.91,100,75.0025,11,7,4
20,10058,92.3076923076923,100,83.3333333333333,13,7,6
21,10628,92.3076923076923,100,87.5,13,5,8
22,11554,88.89,100,66.67,9,6,3
23,12711,100,100,100,4,3,1
24,12720,100,100,100,9,5,4
25,12818,91.6666666666667,100,80,12,7,5
26,13642,70,83.3333333333333,50,10,6,4
27,14301,100,100,100,10,8,2
28,14623,87.5,100,50,8,6,2
29,17138,84.6153846153846,80,87.5,13,5,8
30,17310,100,100,100,9,6,3
31,18384,81.8190909090909,80,83.335,11,5,6
32,19003,91.6675,100,87.50125,12,4,8
33,19309,90,100,87.5,10,2,8
34,22712,91.6666666666667,100,80,12,7,5
35,22991,92.3076923076923,87.5,100,13,8,5
36,23339,90,83.3333333333333,100,10,6,4
37,25798,80.001,75.00125,100,10,8,2
38,26010,35.2935294117647,40,28.57,17,10,7
39,27035,71.4292857142857,62.5,83.335,14,8,6
40,28724,100,100,100,10,4,6
41,29268,90.9072727272727,100,87.4975,11,3,8
42,29465,100,100,100,9,1,8
43,30207,77.7766666666667,59.998,100,9,5,4
44,31753,92.8571428571429,66.6666666666667,100,14,3,11
45,31938,100,100,100,16,4,12
46,33795,66.6666666666667,0,100,6,2,4
47,34588,100,100,100,5,2,3
48,34701,85.7157142857143,100,75.0025,7,3,4
49,35211,81.8181818181818,66.6666666666667,100,11,6,5
50,35306,100,100,100,9,3,6
51,35949,71.4285714285714,50,100,7,4,3
52,36221,88.8888888888889,87.5,100,9,8,1
53,38083,66.6666666666667,50,100,3,2,1
54,38089,88.8888888888889,87.5,100,9,8,1
55,39889,60,75,0,5,4,1
56,39980,66.6666666666667,66.6666666666667,66.6666666666667,6,3,3
57,40278,44.4433333333333,39.998,50,9,5,4
58,40435,80,100,75,5,1,4
59,40637,28.57,50,19.998,7,2,5
60,40764,33.3344444444444,0,42.8585714285714,9,2,7
61,41015,25,0,66.6666666666667,8,5,3
62,41205,50,66.6666666666667,42.8571428571429,10,3,7
63,41348,62.49875,75,49.9975,8,4,4
