"MotifID","Position","Frm","FrmP","FrmN","Total_Coverage","CoverageP","CoverageN"
1,258,81.249625,93.3331111111111,65.7137142857143,80,45,35
2,492,81.2484375,68.1818181818182,88.0928571428571,64,22,42
3,598,91.6660416666667,98.2741379310345,81.58,96,58,38
4,661,95.0004,96.5541379310345,92.8547619047619,100,58,42
5,903,86.2744117647059,92.4518867924528,79.5926530612245,102,53,49
6,1040,91.09,88.0024,94.1170588235294,101,50,51
7,1875,95.2766929133858,95.7162857142857,94.7368421052632,127,70,57
8,1948,89.5522388059701,90.1627868852459,89.0420547945205,134,61,73
9,2632,93.4946341463415,90.7381481481482,95.651884057971,123,54,69
10,2991,93.3899173553719,91.6686666666667,95.0829508196721,121,60,61
11,3256,89.7031617647059,83.0946478873239,96.9216923076923,136,71,65
12,4360,91.8746875,87.0576470588235,97.334,160,85,75
13,4599,85.8900613496933,83.3317857142857,88.610253164557,163,84,79
14,4710,87.8507476635514,66.6633333333333,95.0015,107,27,80
15,6260,90.1750289017341,91.0155056179775,89.2845238095238,173,89,84
16,7198,0.880176211453745,0.833666666666667,0.932336448598131,227,120,107
17,8012,82.7829801324503,88.0971428571429,76.120447761194,151,84,67
18,8269,87.114175257732,90.6572897196262,82.7565517241379,194,107,87
19,8859,91.0533157894737,92.2350485436893,89.6542528735632,190,103,87
20,10058,92.4642713567839,92.5558510638298,92.3822857142857,199,94,105
21,10628,84.7545121951219,87.0945161290323,83.3321568627451,164,62,102
22,11554,90.1745664739884,91.2625242718447,88.5737142857143,173,103,70
23,12711,88.821801242236,95.9633333333333,77.4183870967742,161,99,62
24,12720,91.2401459854015,92.3064102564102,89.8305084745763,137,78,59
25,12818,93.1026436781609,92.8561904761905,93.3326666666667,174,84,90
26,13642,85.1844444444445,87.8356756756757,82.955,162,74,88
27,14301,89.8897752808989,89.3653191489362,90.4766666666667,178,94,84
28,14623,82.3000956937799,88.4654807692308,76.1934285714286,209,104,105
29,17138,89.3059893048128,91.1136666666667,87.6287628865979,187,90,97
30,17310,88.5702857142857,94.5046153846154,77.549387755102,140,91,49
31,18384,86.1553333333333,85.7138775510204,86.6013402061856,195,98,97
32,19003,86.0210752688172,72.2225,94.7359649122807,186,72,114
33,19309,88.3018713450292,89.3321333333333,87.4969791666667,171,75,96
34,22712,89.5319767441861,93.4197368421053,86.4541666666667,172,76,96
35,22991,84.1772151898734,72.0588235294118,93.3333333333333,158,68,90
36,23339,94.0521081081081,90.1082417582417,97.8701063829787,185,91,94
37,25798,81.9434722222222,92.186875,73.74875,144,64,80
38,26010,37.4403317535545,35.9223300970874,38.8880555555556,211,103,108
39,27035,80.8992696629213,84.0005,76.9233333333333,178,100,78
40,28724,96.6227027027027,93.2454054054054,100,148,74,74
41,29268,93.480652173913,92.1582352941177,94.2558620689655,138,51,87
42,29465,89.1699363057325,85.7142857142857,91.9503448275862,157,70,87
43,30207,86.3909467455621,81.6081609195402,91.4653658536585,169,87,82
44,31753,89.4195767195767,90.4289361702128,88.4208421052631,189,94,95
45,31938,89.3865363128492,91.8602325581395,87.0990322580645,179,86,93
46,33795,88.7629775280899,89.1549397590361,88.4205263157895,178,83,95
47,34588,93.168198757764,93.75,92.5935802469136,161,80,81
48,34701,89.1586144578313,94.8468041237113,81.1621739130435,166,97,69
49,35211,91.5659036144578,89.228,93.0704950495049,166,65,101
50,35306,92.0010857142857,90.3642168674699,93.4778260869565,175,83,92
51,35949,75.3516197183099,62.2637735849057,83.1455056179775,142,53,89
52,36221,93.2044660194175,91.66875,94.5447272727273,206,96,110
53,38083,80.1731896551724,66.0006,90.91,116,50,66
54,38089,85.2455191256831,76.4014606741573,93.6191489361702,183,89,94
55,39889,69.5660869565217,69.0485714285714,70.1306493506493,161,84,77
56,39980,74.0562264150943,70.4083673469388,77.1921052631579,212,98,114
57,40278,65.7003488372093,69.7704651162791,61.6302325581395,172,86,86
58,40435,78.8868333333333,74.7250549450549,83.1421348314607,180,91,89
59,40637,22.7064251207729,27.7788888888889,17.1728282828283,207,108,99
60,40764,39.905,38.3848484848485,41.2856880733945,208,99,109
61,41015,69.274469273743,68.6881818181818,70,179,99,80
62,41205,81.4216393442623,78.3104819277109,84.0039,183,83,100
63,41348,71.7509039548023,63.4151219512195,78.946,177,82,95
64,42533,94.4708755760369,96.0407920792079,93.1039655172414,217,101,116
65,43152,82.99975,74.3583333333333,88.5245901639344,200,78,122
66,43258,86.3403414634146,87.154128440367,85.4163541666667,205,109,96
67,44324,93.6904504504504,90.7388888888889,96.4866666666667,222,108,114
68,44357,90.41,85.8490566037736,94.688407079646,219,106,113
69,44684,89.3617553191489,84.0914772727273,93.9996,188,88,100
70,44873,87.8034756097561,88.1563157894737,87.49875,164,76,88
71,45201,94.4437037037037,94.8707692307692,93.9389898989899,216,117,99
72,45446,97.0574117647059,97.6450588235294,96.4697647058824,170,85,85
73,46200,96.3899484536083,97.847311827957,95.0480198019802,194,93,101
74,47217,87.1427619047619,88.8931481481481,85.2894117647059,210,108,102
75,47514,95.5363392857143,96.5191304347826,94.4994495412844,224,115,109
76,48490,48.5568269230769,39.8026213592233,57.1442857142857,208,103,105
77,48749,85.7124844720497,89.9981818181818,76.4688235294118,161,110,51
78,49412,86.7020744680851,89.474,83.8705376344086,188,95,93
79,49555,85.0220704845815,86.9909756097561,82.6934615384615,227,123,104
80,49609,75.7904210526316,84.0716814159292,63.6374025974026,190,113,77
81,49691,89.2679024390244,93.1037931034483,84.2683146067416,205,116,89
82,50405,85.9885987261146,82.0542307692308,89.873164556962,157,78,79
83,50754,80.6434838709677,82.2767088607595,78.9457894736842,155,79,76
84,51163,67.4438953488372,61.7660294117647,71.1563461538462,172,68,104
85,52079,87.3167804878049,88.3497087378641,86.2737254901961,205,103,102
86,52858,87.0466321243523,89.5377906976744,85.0443925233645,193,86,107
87,53173,85.0235265700483,87.6285567010309,82.7263636363636,207,97,110
88,53184,84.0208762886598,86.0245161290322,82.1759405940594,194,93,101
89,53301,75.756,76.1914285714286,75.3044444444444,165,84,81
90,54795,92.3062019230769,91.1729411764706,93.3966981132075,208,102,106
91,54840,95.8317592592593,94.283619047619,97.2962162162162,216,105,111
92,55391,73.1573684210526,79.5683870967742,67.0107216494846,190,93,97
93,55684,93.5822459893048,91.3060869565217,95.7865263157895,187,92,95
94,56408,93.6356363636364,95.8761855670103,91.8686991869919,220,97,123
95,56578,90.0945283018868,88.1743010752688,91.5952100840336,212,93,119
96,56663,88.4050724637681,81.8160227272727,93.2776470588235,207,88,119
97,57478,87.3873873873874,85.8475471698113,88.7944827586207,222,106,116
98,57672,91.1011016949153,84.8196428571429,96.7746774193548,236,112,124
99,57750,93.7786666666667,87.8278260869565,100,225,115,110
100,58057,80.4129896907217,79.0925454545455,82.1421428571429,194,110,84
101,58095,86.4490654205607,86.7785950413223,86.0203225806452,214,121,93
102,59322,93.7175392670157,89.5846875,97.8938947368421,191,96,95
103,59335,91.5114150943396,89.7241121495327,93.3327619047619,212,107,105
104,59477,80.0957766990291,54.1157647058824,98.3461983471074,206,85,121
105,59708,90.0897747747748,84.762,94.8711111111111,222,105,117
106,60044,91.7578021978022,85.3931460674157,97.8487096774194,182,89,93
107,60274,82.3882954545455,70.6653333333333,91.0934653465347,176,75,101
108,61379,91.1113777777778,89.5224761904762,92.5016666666667,225,105,120
109,62702,91.6663020833333,82.8965789473684,97.4119827586207,192,76,116
110,62906,82.0521367521368,83.8709677419355,80.0018181818182,234,124,110
111,64998,82.7585714285714,83.8351515151515,81.73375,203,99,104
112,65583,68.4428278688525,62.6082608695652,73.6441860465116,244,115,129
113,66076,54.0666507177034,56.1672602739726,52.9391176470588,209,73,136
114,66388,76.8845728643216,85.7133613445378,63.75175,199,119,80
115,66505,84.496511627907,82.8332835820895,86.2938709677419,258,134,124
116,66900,71.6332211538462,69.1579439252336,74.2555445544554,208,107,101
117,67464,67.2790808823529,59.7010447761194,74.6374637681159,272,134,138
118,68426,77.7794685990338,79.20088,75.6126829268293,207,125,82
119,68864,81.3839893617021,60.004,90.2253383458647,188,55,133
120,72045,82.5393650793651,87.5851034482759,75.7016822429907,252,145,107
121,72206,88.9783673469388,85.820447761194,92.7906306306306,245,134,111
122,72288,84.8626146788991,83.33525,86.7328571428571,218,120,98
123,72414,88.7386936936937,93.2782352941176,83.4939805825243,222,119,103
124,72637,81.8620588235294,75.2486138613861,88.3470873786408,204,101,103
125,72711,78.4730493273543,81.6494495412844,75.4359649122807,223,109,114
126,72720,70.5185549132948,73.9115217391304,66.6648148148148,173,92,81
127,72965,87.1141237113402,91.4658536585366,83.9280357142857,194,82,112
128,73017,69.3978448275862,71.5619266055046,67.480081300813,232,109,123
