"MotifID","Position","Strand","Frm","Coverage","n_samples"
1,2915,"+",98.6836842105263,76,2
2,3219,"+",92.539552238806,67,2
3,7019,"+",95.0954901960784,102,2
4,11381,"+",93.5079220779221,77,2
5,12398,"+",100,106,2
6,13118,"+",100,114,2
7,13416,"+",98.7640740740741,81,2
8,17741,"+",95.8928767123288,73,2
9,18606,"+",94.8685897435897,78,2
10,19647,"+",96.8745833333333,96,2
11,20837,"+",98.9609375,96,2
12,21976,"+",96.1988607594937,79,2
13,23701,"+",96.1038961038961,77,2
14,25575,"+",98.9572916666667,96,2
15,27968,"+",98.9343617021277,94,2
16,31666,"+",100,101,2
17,37154,"+",98.0234653465346,101,2
18,39629,"+",71.2658620689655,87,2
19,41396,"+",93.8230864197531,81,2
20,42087,"+",100,116,2
21,42467,"+",95.0962745098039,102,2
22,44554,"+",94.790625,96,2
23,49618,"+",96.94,98,2
24,51541,"+",97.1960747663551,107,2
25,54159,"+",100,124,2
26,55306,"+",100,102,2
27,59002,"+",95.7468085106383,94,2
28,60535,"+",97.2476146788991,109,2
29,64283,"+",100,142,2
30,65757,"+",90.1027722772277,101,2
31,68188,"+",90.9088429752066,121,2
32,69318,"+",99.1364655172414,116,2
33,70864,"+",98.5804255319149,141,2
34,77608,"+",98.1818181818182,110,2
35,79805,"+",91.4668292682927,82,2
36,92887,"+",99.1686666666667,120,2
37,98477,"+",85.996,100,2
38,99693,"+",98.3588524590164,122,2
39,105227,"+",97.0594117647059,136,2
40,106480,"+",97.06,102,2
41,112066,"+",71.4261038961039,77,2
42,117884,"+",99.117610619469,113,2
43,127849,"+",97.3679824561404,114,2
44,128863,"+",99.2924822695036,141,2
45,138137,"+",100,109,2
46,140891,"+",100,86,2
47,144525,"+",94.5198630136986,73,2
48,152695,"+",95.7435106382979,94,2
49,155813,"+",97.5015,80,2
50,156260,"+",96.1009090909091,77,2
51,157374,"+",97.2604109589041,73,2
52,158358,"+",93.3338333333333,60,2
53,160051,"+",92.1564705882353,51,2
54,163096,"+",79.17,48,2
55,164050,"+",100,56,2
56,164686,"+",100,53,2
57,165322,"+",100,57,2
58,171256,"+",98.5702857142857,70,2
59,175157,"+",99.0762962962963,108,2
60,181152,"+",98.8510344827586,87,2
61,184468,"+",83.7193023255814,43,2
62,190368,"+",93.335,30,2
63,190671,"+",96.2944444444444,54,2
