"MotifID","Position","Frm","FrmP","FrmN","Total_Coverage","CoverageP","CoverageN"
1,258,90.9081818181818,94.44,86.67,66,36,30
2,492,88.0565671641791,77.27,93.33,67,22,45
3,598,95.772676056338,97.56,93.33,71,41,30
4,661,94.1170588235294,97.5,91.11,85,40,45
5,903,89.7398717948718,93.02,85.71,78,43,35
6,1040,92.5904938271605,89.19,95.45,81,37,44
7,1875,88.504367816092,83.72,93.18,87,43,44
8,1948,90.815306122449,80.56,96.77,98,36,62
9,2632,90.819387755102,84.85,93.85,98,33,65
10,2991,91.2085714285714,84.62,96.15,91,39,52
11,3256,93.3357142857143,87.5,98.25,105,48,57
12,4360,92.49625,85.96,98.41,120,57,63
13,4599,89.4343902439024,84.91,92.86,123,53,70
14,4710,83.33,53.33,95.83,102,30,72
15,6260,91.1272580645161,87.3,95.08,124,63,61
16,7198,4.63688741721854,5.13,4.11,151,78,73
17,8012,79.4397196261682,87.93,69.39,107,58,49
18,8269,84.2112781954887,86.3,81.67,133,73,60
19,8859,84.2485826771653,82.81,85.71,127,64,63
20,10058,88.5721428571429,85.48,91.03,140,62,78
21,10628,87.3033333333333,78.57,94.29,126,56,70
22,11554,91.3325333333333,90.24,92.65,150,82,68
23,12711,87.0223664122137,92.5,78.43,131,80,51
24,12720,88.5250819672131,86.3,91.84,122,73,49
25,12818,90.7823404255319,90.91,90.67,141,66,75
26,13642,85.6121582733813,91.43,79.71,139,70,69
27,14301,90.3391477272727,88.42,92.59,176,95,81
28,14623,85.5521965317919,88.51,82.56,173,87,86
29,17138,94.5936486486487,92.96,96.1,148,71,77
30,17310,86.4400847457627,90.41,80,118,73,45
31,18384,87.5851034482759,89.04,86.11,145,73,72
32,19003,90.3468275862069,81.97,96.43,145,61,84
33,19309,90.001,86.57,93.15,140,67,73
34,22712,90.0776335877863,91.23,89.19,131,57,74
35,22991,84.1645833333333,70.91,95.38,120,55,65
36,23339,94.6311409395973,91.67,97.4,149,72,77
37,25798,87.0693965517241,87.23,86.96,116,47,69
38,26010,20.4345161290323,22.83,18.09,186,92,94
39,27035,87.9236241610738,90.43,83.64,149,94,55
40,28724,98.4263779527559,98.25,98.57,127,57,70
41,29268,94.4442857142857,89.13,97.5,126,46,80
42,29465,93.3291111111111,85.71,98.73,135,56,79
43,30207,91.0425373134328,83.05,97.33,134,59,75
44,31753,95.9296511627907,96.2,95.7,172,79,93
45,31938,95.5428662420382,98.63,92.86,157,73,84
46,33795,90.8441221374046,88.14,93.06,131,59,72
47,34588,93.0079020979021,89.83,95.24,143,59,84
48,34701,92.534776119403,91.89,93.33,134,74,60
49,35211,91.7223448275862,86.54,94.62,145,52,93
50,35306,92.6473529411765,91.94,93.24,136,62,74
51,35949,79.3361157024793,56.41,90.24,121,39,82
52,36221,94.482,91.38,96.55,145,58,87
53,38083,88.3133766233766,83.33,90.57,77,24,53
54,38089,91.7401834862385,89.58,93.44,109,48,61
55,39889,81.5819736842105,75.76,86.05,76,33,43
56,39980,83.67,80.95,85.71,98,42,56
57,40278,72.3705263157895,74.42,69.7,76,43,33
58,40435,86.247375,82.05,90.24,80,39,41
59,40637,26.8027835051546,37.25,15.22,97,51,46
60,40764,44.8979591836735,43.75,46,98,48,50
61,41015,70.2410714285714,66.67,75.76,84,51,33
62,41205,86.3620454545455,80,93.02,88,45,43
63,41348,74.9995454545454,61.9,86.96,88,42,46
64,42533,96.8488188976378,97.1,96.55,127,69,58
65,43152,88.8891666666667,82.35,94.74,108,51,57
66,43258,88.1885039370079,88.57,87.72,127,70,57
67,44324,93.8397260273972,91.57,96.83,146,83,63
68,44357,92.96578125,91.89,94.44,128,74,54
69,44684,95.1206504065041,95.38,94.83,123,65,58
70,44873,88.5272950819672,88.89,88.14,122,63,59
